Date, Close/Last, Volume, Open, High, Low
10/27/2020, $228.51, 1395734, $234.2, $234.59, $228
10/26/2020, $234.25, 1010501, $237.1, $237.49, $231.745
10/23/2020, $239.53, 820498, $237.12, $240, $237.12
10/22/2020, $236.88, 1246389, $236.06, $238, $234.88
10/21/2020, $236.4, 1506494, $239.52, $241.92, $236.06
10/20/2020, $238.87, 969001, $239.8, $242.035, $237.76
10/19/2020, $238.17, 905592, $240.25, $242.9, $237.11
10/16/2020, $240.06, 1652689, $240, $243.4, $239.71
10/15/2020, $238.24, 1225180, $234.66, $239.35, $234.365
10/14/2020, $238.47, 1062545, $237.39, $240.66, $237.09
10/13/2020, $237.22, 1311422, $236.14, $237.58, $234.49
10/12/2020, $236.52, 1234788, $237.14, $237.61, $235.0725
10/09/2020, $234.81, 1091540, $235.02, $237.01, $233.58
10/08/2020, $234.24, 1148436, $230.99, $234.81, $230.71
10/07/2020, $230.57, 1029194, $229.27, $232.53, $228.105
10/06/2020, $226.12, 1385895, $227.27, $230.64, $226.0101
10/05/2020, $226.96, 2071483, $227.26, $231.12, $224.85
10/02/2020, $224.79, 1403675, $215.25, $226.52, $215.02
10/01/2020, $219.04, 1383845, $223.5, $223.78, $218.57
09/30/2020, $221.63, 1883964, $221.38, $226.06, $220.235
09/29/2020, $220.18, 903349, $221.65, $222.39, $218.07
09/28/2020, $221.9, 1191484, $222.06, $224.3565, $221.5
09/25/2020, $219.25, 1225484, $214.95, $220.93, $214.83
09/24/2020, $216.52, 1025931, $213.7, $219.38, $211.38
09/23/2020, $214.55, 1683466, $217.58, $220.67, $214.38
09/22/2020, $217.58, 1622567, $215.09, $219.06, $214.53
09/21/2020, $214.21, 2134052, $216.25, $217.45, $210.175
09/18/2020, $221.97, 3063663, $219.47, $225.38, $219.45
09/17/2020, $219.94, 2094331, $213.8, $221.6, $212.0105
09/16/2020, $215.4, 1573006, $217.16, $218.92, $214.86
09/15/2020, $215.77, 1740236, $219.81, $220.96, $215.19
09/14/2020, $218.33, 1249318, $217.9, $219.12, $216.7
09/11/2020, $215.96, 1902364, $214.13, $218.507, $213
09/10/2020, $215.11, 1840588, $215.92, $218.23, $213.61
09/09/2020, $215.52, 1569294, $210.86, $217.3, $210.86
09/08/2020, $210.24, 1918482, $209.86, $213.24, $207.97
09/04/2020, $211.34, 1662351, $213.19, $214, $208.18
09/03/2020, $210.81, 1975367, $217.27, $218.73, $209.07
09/02/2020, $217.11, 1983120, $218.24, $219.71, $215.67
09/01/2020, $217.69, 1873548, $208.52, $217.72, $208.27
08/31/2020, $210.06, 1944497, $210, $211.43, $207.77
08/28/2020, $209.9, 1261483, $210.33, $210.8, $208.745
08/27/2020, $209.83, 1875503, $211.16, $212.4522, $208.82
08/26/2020, $211.01, 2040293, $206.59, $212.29, $204.76
08/25/2020, $205.6, 2707075, $206, $209.4, $205.35
08/24/2020, $205.4, 3177982, $204.37, $206.48, $202.66
08/21/2020, $199.5, 6446260, $196.76, $202.95, $196
08/20/2020, $191.1, 1558667, $190.21, $192.05, $189.38
08/19/2020, $191.99, 1512676, $193, $194.6, $191.94
08/18/2020, $192.13, 1120968, $193.81, $194.82, $191.895
08/17/2020, $192.99, 1026228, $193.25, $194.24, $191.2
08/14/2020, $191.13, 900649, $189.22, $193.21, $188.43
08/13/2020, $189.5, 1324832, $188.55, $191.17, $188.45
08/12/2020, $192.31, 1628997, $191.29, $192.82, $189.59
08/11/2020, $193.22, 1909915, $192.3, $195.85, $192.205
08/10/2020, $189.91, 2631056, $185, $191.35, $184.4
08/07/2020, $183.5, 1254634, $181.41, $183.71, $179.8605
08/06/2020, $181.26, 968080, $182, $183.24, $180.25
08/05/2020, $182.82, 1366456, $180, $183.59, $179.95
08/04/2020, $178.11, 672802, $176.92, $178.88, $176.625
08/03/2020, $177.62, 841234, $177.38, $178.87, $175.83
07/31/2020, $176.31, 1409720, $176.81, $176.92, $173.36
07/30/2020, $178.04, 1235913, $178.21, $179.25, $176.2752
07/29/2020, $180.25, 1886888, $176.71, $180.76, $176.01
07/28/2020, $175.79, 850025, $174.9, $177.14, $174.65
07/27/2020, $176, 887263, $174.69, $176.685, $172.91
07/24/2020, $175.35, 910844, $177.11, $177.77, $174.81
07/23/2020, $176.73, 943971, $175.7, $178.4, $175.41
07/22/2020, $175.49, 1246300, $174.19, $176.025, $174.11
07/21/2020, $175.65, 1079317, $174.95, $176.81, $173.37
07/20/2020, $173.81, 1314631, $175.87, $176.13, $172.7
07/17/2020, $176.51, 1140439, $175, $176.93, $173.36
07/16/2020, $173.42, 1142447, $171.96, $175.28, $170.9
07/15/2020, $172.39, 1992280, $170.69, $174, $169.83
07/14/2020, $169.56, 1651631, $163.49, $169.82, $162.3
07/13/2020, $163.83, 1829704, $162.66, $167.32, $161.66
07/10/2020, $159.09, 982788, $158.27, $159.44, $157.04
07/09/2020, $157.65, 1283418, $157.82, $159.71, $156.1
07/08/2020, $158.38, 1042622, $159.27, $159.81, $156.85
07/07/2020, $158.7, 1118589, $158.38, $160.58, $157.65
07/06/2020, $160.22, 947540, $161.12, $161.59, $158.41
07/02/2020, $157.9, 1044932, $158.87, $161.92, $157.52
07/01/2020, $156.85, 1111354, $159.65, $160.18, $155.34
06/30/2020, $157.15, 1836595, $152.84, $158.25, $152.12
06/29/2020, $153.71, 1094212, $150.85, $153.96, $150.3218
06/26/2020, $149.04, 2302929, $153.18, $153.87, $148.19
06/25/2020, $154.45, 1671215, $149.22, $154.85, $148.29
06/24/2020, $150.49, 1985729, $151.89, $152.67, $149.12
06/23/2020, $153.96, 940556, $156.54, $156.62, $153.69
06/22/2020, $154.56, 1188508, $153, $154.73, $151.75
06/19/2020, $154.87, 2046399, $158.75, $158.86, $153.54
06/18/2020, $154.87, 883784, $154.54, $156.88, $153.61
06/17/2020, $155.51, 1131662, $158.93, $158.93, $154.86
06/16/2020, $158.3, 2105580, $161.71, $163.82, $155.5577
06/15/2020, $155.47, 1321354, $148.38, $155.61, $148.12
06/12/2020, $154.97, 1597956, $156.45, $157.27, $150.52
06/11/2020, $151.09, 1576385, $155.23, $156.88, $150.69
06/10/2020, $161, 1311660, $164.42, $165.09, $160.96
06/09/2020, $164.81, 1977374, $163.54, $165.87, $163.13
06/08/2020, $168.81, 1373011, $167, $170.41, $166.81
06/05/2020, $166.72, 2061279, $167.9, $170.11, $165.65
06/04/2020, $161.14, 1469890, $156.79, $161.37, $156.08
06/03/2020, $158.35, 1678812, $155.13, $158.84, $155.06
06/02/2020, $152.95, 1335446, $150.64, $154.095, $150.12
06/01/2020, $149.14, 1465267, $149.34, $150.95, $147.4
05/29/2020, $152.12, 2249110, $151.27, $152.93, $147.87
05/28/2020, $153.16, 1915445, $156.19, $156.34, $152.13
05/27/2020, $153.36, 1936365, $152, $154.27, $150.531
05/26/2020, $148.03, 2500261, $144.46, $151, $144.46
05/22/2020, $140.71, 3427643, $148, $148.41, $138.76
05/21/2020, $142.81, 2100162, $141.07, $144.5, $141.07
05/20/2020, $142.31, 2399492, $138.48, $143.08, $138.1101
05/19/2020, $136.15, 1859542, $139.09, $139.44, $135.44
05/18/2020, $137.9, 2450908, $131.98, $138.87, $130.51
05/15/2020, $126.01, 1650013, $125.99, $127.7, $124.69
05/14/2020, $126.8, 2721044, $123, $126.96, $117.85
05/13/2020, $125.82, 2027607, $130.95, $131.13, $124.5
05/12/2020, $130.05, 1392644, $135.8, $136.82, $129.941
05/11/2020, $134.89, 1356117, $135.16, $136.77, $132.56
05/08/2020, $137, 1729777, $138, $138.95, $136.72
05/07/2020, $136, 1059137, $134.66, $136.97, $134.06
05/06/2020, $132.13, 1151004, $135.61, $136.03, $131.39
05/05/2020, $135.15, 1125484, $135.12, $138.45, $134.72
05/04/2020, $132.94, 2277549, $136.36, $136.5, $130.2001
05/01/2020, $138.19, 1603096, $142.9, $143.05, $137.14
04/30/2020, $145.06, 2054556, $144.56, $145.8, $142.725
04/29/2020, $147.1, 1563157, $145, $148.425, $143.54
04/28/2020, $141.56, 1752059, $143.06, $144.6171, $140.86
04/27/2020, $139.7, 1528936, $138.63, $140.78, $138.11
04/24/2020, $138.63, 1498485, $138.94, $139.42, $135.43
04/23/2020, $137.11, 1377020, $137.68, $140.085, $136.92
04/22/2020, $136.21, 1280461, $137.37, $137.88, $134.12
04/21/2020, $134.06, 1958507, $133.99, $135.19, $132.5019
04/20/2020, $137.3, 1974925, $135.84, $140.2634, $133.76
04/17/2020, $138.46, 2468321, $133.54, $138.55, $133.015
04/16/2020, $129.95, 3642658, $134.25, $135.49, $128.51
04/15/2020, $135.31, 2938234, $133.12, $135.33, $127.545
04/14/2020, $138.13, 2479842, $140.31, $142.23, $135.16
04/13/2020, $139.8, 1655871, $141.78, $142.75, $136.87
04/09/2020, $145.75, 1596109, $147.28, $150.2099, $144.13
04/08/2020, $146.77, 1210081, $145.08, $147.815, $142.61
04/07/2020, $142.82, 2067510, $148, $151.65, $142.54
04/06/2020, $143.49, 2079448, $141.58, $144.87, $139.72
04/03/2020, $135.52, 2053140, $138.48, $139.35, $132.13
04/02/2020, $139.38, 2863751, $133.31, $139.91, $132.86
04/01/2020, $133.67, 2040639, $132.18, $134.73, $129.6825
03/31/2020, $138.16, 2240205, $141.99, $145, $137.25
03/30/2020, $141.23, 2251141, $136.72, $141.7, $134.56
03/27/2020, $135.11, 2302699, $135, $139.17, $132.16
03/26/2020, $139.09, 2227539, $129.35, $140.15, $127.14
03/25/2020, $128.49, 3962382, $125.88, $136.73, $121.84
03/24/2020, $126, 3488413, $117.37, $126.66, $112.7
03/23/2020, $111.15, 3130922, $110.27, $115.57, $106.52
03/20/2020, $111.63, 4155245, $119.66, $120.605, $110.34
03/19/2020, $119.66, 2455694, $112.9, $120.74, $106.25
03/18/2020, $114.21, 2635027, $117.82, $120.55, $106.14
03/17/2020, $126.71, 2909655, $122.8, $129.46, $119.07
03/16/2020, $120.05, 2617693, $123.9, $132.87, $119.84
03/13/2020, $138.96, 2525544, $137.93, $139.29, $130.53
03/12/2020, $130.39, 3288737, $135, $136.54, $128.0852
03/11/2020, $145.88, 2397338, $150.85, $151.16, $143.85
03/10/2020, $154.99, 2798034, $155.62, $156.33, $148.01
03/09/2020, $150, 2886392, $152.01, $158.25, $147.125
03/06/2020, $164.04, 2973408, $154.2, $164.94, $153.6695
03/05/2020, $159.07, 1878394, $158.83, $162.19, $157.92
03/04/2020, $163.07, 2513828, $161.24, $163.295, $160.5154
03/03/2020, $157.78, 2443077, $164.34, $167.87, $157
03/02/2020, $163.92, 2532128, $157.92, $164, $156.55
02/28/2020, $156.48, 3053876, $155.29, $158.92, $152.66
02/27/2020, $159.99, 2957507, $164.4, $166.55, $159.96
02/26/2020, $166.92, 2545782, $168.28, $169.38, $165.61
02/25/2020, $166.65, 2358560, $172.18, $172.945, $165.8
02/24/2020, $171.86, 2292877, $172.51, $176.36, $171.5
02/21/2020, $177.43, 5917095, $177.91, $181.99, $176
02/20/2020, $165.83, 2048513, $164.76, $166.75, $164.5
02/19/2020, $164.93, 1244916, $166.5, $167.24, $164.85
02/18/2020, $166.3, 1177464, $167.4, $167.44, $164.21
02/14/2020, $168.07, 1152603, $170.83, $172.31, $167.18
02/13/2020, $170.76, 831113, $170.86, $171.905, $169.86
02/12/2020, $171.83, 1008231, $172, $173.2, $170.21
02/11/2020, $170.26, 1315709, $169.1, $171.06, $168.6
02/10/2020, $168.24, 807667, $166.46, $168.29, $166.13
02/07/2020, $167.45, 1711059, $167.42, $168.9, $166.66
02/06/2020, $168.86, 1805066, $168.75, $169.15, $166.05
02/05/2020, $168.35, 1476920, $167.43, $168.77, $166.51
02/04/2020, $164.43, 1412631, $161.33, $165.12, $160.65
02/03/2020, $158.29, 1813590, $159.44, $161.43, $157.28
01/31/2020, $158.58, 1693403, $159.72, $161.22, $157.328
01/30/2020, $161.11, 2496365, $159, $161.84, $158.535
01/29/2020, $160.16, 1959814, $163.91, $163.91, $160
01/28/2020, $162.98, 1750799, $164.8, $165.67, $162.4
01/27/2020, $163.28, 1586842, $166.18, $167.99, $162.93
01/24/2020, $170.12, 1103310, $172.05, $172.05, $169.04
01/23/2020, $172.06, 1245087, $170.28, $172.18, $168.66
01/22/2020, $171.16, 1285791, $173.07, $173.66, $170.62
01/21/2020, $172.56, 1655116, $175.1, $175.43, $172.39
01/17/2020, $176.2, 1653410, $175.71, $177.01, $175.53
01/16/2020, $175.47, 1410386, $174, $175.56, $173.05
01/15/2020, $172.92, 1139201, $173.12, $175.15, $172.15
01/14/2020, $173.67, 1039875, $174.88, $175.05, $173.43
01/13/2020, $174.74, 1301182, $174.08, $175.04, $173.57
01/10/2020, $173.43, 2560929, $178.1, $178.4, $173.41
01/09/2020, $177.6, 1459108, $176.53, $178.39, $176.11
01/08/2020, $175.9, 1713892, $174.5, $176.78, $173.99
01/07/2020, $173.74, 1234414, $176.01, $176.44, $173.4901
01/06/2020, $176.81, 1235688, $174.48, $176.88, $173.735
01/03/2020, $175.55, 1301141, $174.21, $175.76, $173.55
01/02/2020, $176.86, 1457269, $174.24, $176.88, $173.73
12/31/2019, $173.26, 748231, $174.12, $174.67, $172.5
12/30/2019, $174.16, 953007, $174.89, $175.115, $173.51
12/27/2019, $175.81, 719572, $175.01, $175.86, $174.3
12/26/2019, $174.8, 518055, $174.8, $175.13, $173.57
12/24/2019, $174.5, 332329, $174.95, $175.5, $174.02
12/23/2019, $175.05, 1005712, $175.65, $175.65, $173.45
12/20/2019, $174.65, 2593597, $175.38, $176.58, $173.3193
12/19/2019, $172.76, 1249068, $173.3, $173.625, $171.92
12/18/2019, $172.61, 2209242, $172.72, $173.593, $171.22
12/17/2019, $173.84, 1246980, $172.46, $174.26, $171.65
12/16/2019, $172.85, 1408771, $174.23, $174.99, $172.67
12/13/2019, $172.5, 1775551, $173.74, $176.4, $171.1448
12/12/2019, $173.82, 2169000, $169.5, $174.16, $168.62
12/11/2019, $169.7, 1245887, $170.62, $170.68, $168.36
12/10/2019, $169.9, 1643118, $167.54, $170, $166.67
12/09/2019, $167.9, 1740671, $165.4, $168.16, $165.11
12/06/2019, $165.21, 1547600, $167.07, $167.48, $164.45
12/05/2019, $164.58, 1233976, $165.55, $165.88, $163.85
12/04/2019, $165.27, 1756395, $164.07, $166.86, $163.7
12/03/2019, $163.5, 2016165, $163.33, $164.3, $162.04
12/02/2019, $165.29, 2743126, $165.3, $167.24, $164.77
11/29/2019, $168.05, 1394372, $168.3, $169.32, $167.7
11/27/2019, $169.06, 7626685, $168.5, $172.37, $167.05
11/26/2019, $176.65, 2828034, $176.96, $178.34, $176.6
11/25/2019, $176.61, 1678004, $176.08, $176.93, $175.2
11/22/2019, $175.38, 1295398, $176.17, $176.98, $174.61
11/21/2019, $176.03, 1683232, $172.73, $176.3, $172.23
11/20/2019, $172.07, 2060885, $172.91, $173.41, $169.74
11/19/2019, $173.65, 1236084, $176.33, $176.33, $173.385
11/18/2019, $174.91, 1441745, $174, $174.915, $172.38
11/15/2019, $174.48, 1645798, $175.53, $175.83, $174.06
11/14/2019, $174.38, 1311502, $173.22, $176.71, $173
11/13/2019, $175.67, 1840744, $175.03, $175.79, $172.7
11/12/2019, $176.39, 1436219, $179.8, $179.8, $176.05
11/11/2019, $179.8, 1413855, $177.28, $180.48, $176.58
11/08/2019, $178.36, 1715709, $178.49, $178.91, $177.27
11/07/2019, $177.89, 1657366, $177.82, $179.16, $177.5254
11/06/2019, $175.97, 1939926, $178.58, $178.6446, $175.24
11/05/2019, $178.92, 1321917, $179.22, $179.695, $178.19
11/04/2019, $179.1, 1999133, $177.75, $179.32, $177.75
11/01/2019, $176.11, 3120858, $175.9, $176.26, $174.79
10/31/2019, $174.14, 2245570, $173.44, $174.38, $170.345
10/30/2019, $173.82, 1646669, $174.62, $174.62, $172.61
10/29/2019, $174.11, 1622648, $172.3, $174.64, $171.745
10/28/2019, $173.35, 1455287, $174.44, $175.39, $172.99
10/25/2019, $173.11, 2135408, $172.2, $174.1, $172.14
10/24/2019, $172.11, 2561219, $175, $175, $170.91
10/23/2019, $175, 1299770, $173.68, $175.82, $173.5
10/22/2019, $175.15, 1580270, $174.75, $176.3908, $173.59
10/21/2019, $174.03, 1509216, $174.66, $175.72, $174
10/18/2019, $173.92, 1783323, $172.03, $174.2514, $171.5
10/17/2019, $172.14, 1219828, $172.03, $173, $171.31
10/16/2019, $171.06, 1834100, $172.06, $174.1, $171
10/15/2019, $172.64, 1927242, $169.56, $173.03, $168.15
10/14/2019, $168.93, 1776378, $170.8, $170.95, $168.57
10/11/2019, $170.95, 5041681, $170, $173.26, $169.48
10/10/2019, $167.8, 2014842, $166.51, $169.95, $166.03
10/09/2019, $166.43, 2095641, $166.4, $167.61, $164.645
10/08/2019, $164.97, 1853118, $164.29, $166.19, $162.86
10/07/2019, $166.55, 1241679, $167.94, $168.68, $166.41
10/04/2019, $167.69, 1255108, $164.8, $167.78, $164.15
10/03/2019, $164.83, 1386641, $163.21, $165.19, $160.61
10/02/2019, $163.25, 2659203, $164, $164.98, $161.08
10/01/2019, $165.5, 2312631, $169.6, $170.21, $164.65
09/30/2019, $168.68, 1841582, $166.78, $169.03, $166.66
09/27/2019, $166.26, 1613090, $166.5, $167.31, $165
09/26/2019, $166.41, 1820076, $165.17, $166.92, $164.75
09/25/2019, $165.19, 2816157, $165.68, $166.24, $164.43
09/24/2019, $165.96, 3183471, $165.61, $166.31, $163.9457
09/23/2019, $165.21, 1450327, $162.89, $166.08, $162.76
09/20/2019, $164.07, 2954268, $164.83, $166.7, $162.88
09/19/2019, $164.44, 986245, $165.15, $166, $163.7
09/18/2019, $165.38, 1219777, $163.47, $165.63, $162.82
09/17/2019, $163.99, 1349934, $162.99, $164.25, $162.2975
09/16/2019, $164.59, 1164676, $164.14, $165.48, $162.9
09/13/2019, $165.42, 1789258, $164.93, $166.59, $163.152
09/12/2019, $163.26, 2732780, $162.11, $163.69, $159.635
09/11/2019, $165.15, 2213323, $164.1, $165.19, $162.78
09/10/2019, $164.04, 2702943, $158.89, $164.04, $158.3201
09/09/2019, $158.36, 1725666, $156.7, $159.18, $156.68
09/06/2019, $156.52, 1083179, $157.03, $157.82, $156.115
09/05/2019, $156.3, 1675709, $152.78, $157.2, $152.33
09/04/2019, $151.72, 1563577, $151.42, $152, $151.05
09/03/2019, $150.82, 2060529, $153.76, $153.76, $150.06
08/30/2019, $154.91, 1636557, $158.22, $158.49, $154.76
08/29/2019, $156.48, 1620732, $155.25, $157.77, $155
08/28/2019, $152.72, 1484829, $149.49, $153.47, $148.97
08/27/2019, $150.1, 1249088, $151.59, $152.68, $149.65
08/26/2019, $150.81, 1864103, $150.34, $151.9, $148.28
08/23/2019, $147.02, 2994795, $151, $153.82, $146.3
08/22/2019, $155.37, 1717095, $155.51, $156.215, $153.05
08/21/2019, $154.86, 1855215, $154.35, $155.25, $153.61
08/20/2019, $152.1, 1583702, $152.05, $152.59, $151.1184
08/19/2019, $152.39, 1993623, $150.19, $153.25, $149.36
08/16/2019, $149.23, 3492991, $143.78, $150.99, $143.49
08/15/2019, $143.71, 2402727, $143.82, $145.33, $141.245
08/14/2019, $143.17, 3001003, $144.11, $144.78, $141.85
08/13/2019, $147.17, 2906229, $146, $150.06, $145.49
08/12/2019, $147.05, 3738303, $153.95, $154.34, $146.82
08/09/2019, $154.84, 1742882, $153.92, $156.01, $153.45
08/08/2019, $155.06, 1661318, $152.1, $155.2, $151.45
08/07/2019, $151.24, 1747082, $150.44, $151.58, $148.6
08/06/2019, $152.78, 1824753, $152.42, $154.35, $150.41
08/05/2019, $151.06, 3243281, $154.6, $155.42, $147.71
08/02/2019, $158.7, 2270178, $159.84, $159.84, $157.1
08/01/2019, $161.21, 2193781, $165.89, $167.16, $160.66
07/31/2019, $165.65, 2000280, $170.1, $170.34, $164.625
07/30/2019, $170.03, 1400678, $169.16, $170.7312, $167.67
07/29/2019, $170.26, 1459581, $170.29, $171.22, $169.13
07/26/2019, $170.39, 1950015, $167.02, $170.995, $166.84
07/25/2019, $166.91, 1180640, $167, $167.34, $165.35
07/24/2019, $167.18, 1775551, $165.8, $168.4783, $165.07
07/23/2019, $168.35, 2176805, $166.08, $168.9355, $165.46
07/22/2019, $165.14, 970306, $165.6, $166.58, $164.56
07/19/2019, $165.61, 2690404, $164.05, $166.57, $163.53
07/18/2019, $163.24, 1410275, $162.75, $163.86, $162.0275
07/17/2019, $163.08, 1368192, $166.07, $166.58, $163.08
07/16/2019, $166.15, 1345224, $165.21, $166.6, $164.75
07/15/2019, $166, 1983824, $166.9, $167.81, $165.29
07/12/2019, $165.37, 2268640, $162.12, $165.41, $162.11
07/11/2019, $161.26, 2012757, $160.72, $161.3, $159.37
07/10/2019, $160.81, 1753247, $162.21, $163.125, $160.6227
07/09/2019, $163.35, 1486156, $162, $163.61, $161.11
07/08/2019, $163.89, 1384106, $163.04, $164.67, $162.01
07/05/2019, $163.42, 1291707, $163.6, $164, $161.5572
07/03/2019, $165.29, 918563, $165.82, $165.8298, $162.79
07/02/2019, $165.13, 1370969, $165.43, $165.67, $164.09
07/01/2019, $165.14, 2427599, $168.3, $168.87, $162.95
06/28/2019, $165.71, 6514867, $164.83, $167.06, $164.83
06/27/2019, $164.82, 2072103, $165.23, $165.47, $163.7
06/26/2019, $166.12, 2025659, $166.11, $166.58, $165.63
