Date, Close/Last, Volume, Open, High, Low
02/01/2021, $137.67, 1382811, $138.35, $139.81, $136.45
01/29/2021, $137.85, 1472719, $140.58, $142.77, $137.305
01/28/2021, $140.29, 2678267, $145.18, $146.8, $138.7901
01/27/2021, $145.46, 3451147, $139, $146.98, $138.45
01/26/2021, $140.58, 1730150, $137.33, $141.44, $135.11
01/25/2021, $136.28, 1585104, $135.01, $136.91, $132.5535
01/22/2021, $134.5, 1592114, $133.06, $135.17, $131.31
01/21/2021, $134.09, 2859211, $131.25, $134.93, $130.5
01/20/2021, $132.67, 2906369, $133.25, $134.15, $131.75
01/19/2021, $132.3, 2227097, $135.92, $135.92, $132.17
01/15/2021, $134.81, 2393180, $135.91, $137.48, $134.07
01/14/2021, $135.55, 3351536, $131.55, $136.57, $131.51
01/13/2021, $133.2, 7103935, $136, $137.72, $131.611
01/12/2021, $142.91, 1040281, $141.24, $144.8661, $140.56
01/11/2021, $141.5, 1152082, $140.77, $142.75, $139.0601
01/08/2021, $142.86, 1450224, $143.18, $145.05, $140.9
01/07/2021, $144.05, 1099945, $139.27, $144.19, $139.01
01/06/2021, $139.39, 942340, $138.61, $141.96, $138.32
01/05/2021, $139.79, 774914, $138.69, $140.0972, $137.7
01/04/2021, $138.68, 1010043, $139.44, $140.23, $135.89
12/31/2020, $140.26, 985690, $138.28, $141.03, $137.555
12/30/2020, $138.05, 957869, $139.81, $140.74, $138.01
12/29/2020, $139.42, 731297, $142.98, $143.77, $139.04
12/28/2020, $141.91, 666586, $143.87, $143.886, $141.1701
12/24/2020, $142.9, 346119, $141.69, $143.06, $141.16
12/23/2020, $142.08, 940631, $140.72, $144.13, $140.72
12/22/2020, $140.54, 897584, $142.74, $142.935, $140.51
12/21/2020, $142.23, 1685691, $137.6, $143.6, $136.27
12/18/2020, $140.14, 4510130, $148.51, $149.325, $137.56
12/17/2020, $148.1, 1336793, $145, $148.4, $144.6255
12/16/2020, $144.39, 994175, $145.35, $146, $143.7204
12/15/2020, $144.71, 981249, $144.4, $145.8, $142.8829
12/14/2020, $143.66, 1184503, $142, $145.545, $142
12/11/2020, $141.85, 1001869, $140.81, $141.9, $139.56
12/10/2020, $141.84, 984702, $140.52, $142.33, $139.57
12/09/2020, $141.16, 1828303, $141.42, $142.47, $138.7
12/08/2020, $142.18, 1480586, $139.4, $142.27, $139.05
12/07/2020, $139.74, 1429638, $140.21, $141.5, $138.8209
12/04/2020, $140.23, 1441117, $140.55, $141.82, $139.58
12/03/2020, $140.5, 1478020, $141.84, $142.776, $140.11
12/02/2020, $141.32, 1416574, $140.58, $142.39, $140.235
12/01/2020, $140.75, 1821003, $141.7, $141.99, $139.75
11/30/2020, $139.89, 2051941, $142.5, $143.23, $139.305
11/27/2020, $142.08, 1012507, $141.86, $143.315, $141.1968
11/25/2020, $141.69, 4423352, $145.89, $146.39, $139.6701
11/24/2020, $150.51, 2152084, $149.99, $151.24, $147.73
11/23/2020, $148.94, 1201171, $148.5, $149.88, $146.38
11/20/2020, $147.8, 986657, $148.09, $149.72, $147.64
11/19/2020, $148.68, 757518, $146.18, $149.04, $145.02
11/18/2020, $147.24, 1133485, $146.97, $149.23, $145.985
11/17/2020, $146.09, 652847, $144.6, $146.2, $144.34
11/16/2020, $144.6, 1003084, $141.69, $144.65, $140.77
11/13/2020, $141.86, 668586, $140, $142.43, $139.39
11/12/2020, $138.46, 611437, $140.51, $141.38, $137.755
11/11/2020, $140.56, 838459, $141.68, $142.58, $140.3
11/10/2020, $139.95, 927894, $140.8, $141.8275, $136.81
11/09/2020, $140.86, 1133901, $144.99, $146.22, $140.86
11/06/2020, $140.29, 625474, $141.22, $141.62, $138.87
11/05/2020, $140.74, 1161413, $136.78, $140.98, $136.43
11/04/2020, $133.74, 828806, $134.07, $135.78, $132.265
11/03/2020, $131.93, 941257, $128.51, $132.9, $127.66
11/02/2020, $127, 1415703, $130.03, $131.37, $126.79
10/30/2020, $128.73, 1093335, $129, $130.345, $126.91
10/29/2020, $129.76, 1912789, $129.65, $130.72, $128.36
10/28/2020, $129.89, 1732034, $136, $136.58, $129.7
10/27/2020, $139.1, 810326, $142.46, $142.76, $139.05
10/26/2020, $142.62, 2292441, $147.47, $147.47, $140.15
10/23/2020, $149.2, 495252, $148.8, $150.46, $147.55
10/22/2020, $147.72, 864704, $150, $150, $145.81
10/21/2020, $149.69, 603212, $149.85, $151.2, $148.84
10/20/2020, $149.56, 694358, $151.36, $151.78, $149.49
10/19/2020, $149.92, 708124, $153, $154.38, $149.26
10/16/2020, $152.61, 652429, $154.6, $155.96, $152.53
10/15/2020, $153.18, 934938, $152.66, $155.29, $152.04
10/14/2020, $155.66, 877150, $156, $157.48, $154.54
10/13/2020, $155.04, 1257492, $153.39, $156, $152.6801
10/12/2020, $152.22, 661838, $151.65, $153.5, $151.44
10/09/2020, $151.48, 851700, $151.5, $152.98, $150.34
10/08/2020, $150.25, 1043267, $148.95, $151.3, $148.01
10/07/2020, $147.75, 939218, $148.29, $149.12, $146.95
10/06/2020, $147, 1352155, $145, $148.6, $144.8
10/05/2020, $145.06, 731712, $144.01, $146, $143.66
10/02/2020, $142.95, 823384, $141.16, $145.58, $141
10/01/2020, $144.7, 596972, $145, $146.4182, $144.2
09/30/2020, $143.67, 866034, $144.59, $146.8, $142.76
09/29/2020, $145.74, 1960604, $143.63, $148.45, $143.366
09/28/2020, $142.99, 938275, $143, $144.19, $142.48
09/25/2020, $141.65, 723971, $140.38, $141.84, $139.48
09/24/2020, $140.38, 739703, $138.5, $141.26, $138
09/23/2020, $139.02, 788298, $142.89, $143.37, $138.98
09/22/2020, $142.61, 854914, $141, $142.856, $138.63
09/21/2020, $140.27, 792734, $138.26, $140.48, $137.38
09/18/2020, $141.19, 1614785, $141.08, $142.95, $139.76
09/17/2020, $141.39, 1114015, $142.74, $143.28, $140.18
09/16/2020, $144.87, 1107191, $143.95, $147.245, $143.49
09/15/2020, $143.15, 789229, $142.01, $143.78, $141.72
09/14/2020, $140.82, 923603, $143.2, $145.84, $140.31
09/11/2020, $142.01, 1210025, $141.14, $143.15, $139.95
09/10/2020, $139.82, 1009913, $140.69, $143.03, $138.77
09/09/2020, $140.13, 1186625, $137.02, $141.55, $135.855
09/08/2020, $134.48, 1564399, $134.46, $137.32, $132.86
09/04/2020, $137.47, 1718344, $141.46, $143.45, $135.91
09/03/2020, $144.02, 1656279, $146.49, $148.47, $140.54
09/02/2020, $147.03, 1599639, $142.3, $147.54, $141.63
09/01/2020, $141.28, 1433576, $142.4, $143.24, $140.9
08/31/2020, $144.44, 1768496, $146.5, $150.2399, $142.73
08/28/2020, $146.09, 2791857, $143.45, $147.79, $139.2101
08/27/2020, $142.9, 3145722, $144.69, $146.9, $141.77
08/26/2020, $143.59, 1416105, $143.14, $144.09, $141.64
08/25/2020, $140.69, 1169218, $143.69, $144.15, $139.245
08/24/2020, $142.25, 1066771, $140.13, $142.37, $139.7601
08/21/2020, $138.85, 1050278, $138.7, $139.48, $137.46
08/20/2020, $138.92, 1028529, $139.09, $139.27, $137.36
08/19/2020, $139.26, 776075, $139.52, $140.84, $138.51
08/18/2020, $138.78, 1752853, $136.92, $139.06, $136.92
08/17/2020, $136.42, 1419943, $136.13, $138.78, $135.481
08/14/2020, $135.85, 1206294, $137.15, $138.2767, $135.075
08/13/2020, $137.18, 1507134, $140, $140.115, $137.17
08/12/2020, $140.72, 1430532, $141, $141.6599, $139.3
08/11/2020, $140.87, 609471, $141.82, $143.385, $140.57
08/10/2020, $141.46, 726704, $142.31, $142.68, $139.25
08/07/2020, $142.31, 630509, $143.73, $144.04, $140.8
08/06/2020, $144.34, 1011992, $146.4, $146.4, $143.1669
08/05/2020, $145.9, 957159, $144.11, $146.25, $143.25
08/04/2020, $143.28, 625638, $142.52, $143.37, $141.56
08/03/2020, $143.17, 1163494, $140, $144.23, $139.09
07/31/2020, $140.21, 878453, $140.02, $140.26, $136.85
07/30/2020, $138.88, 825207, $138.35, $139.38, $135.71
07/29/2020, $139.83, 675737, $139.14, $140.52, $138.38
07/28/2020, $138.48, 748643, $140.27, $141.16, $138.365
07/27/2020, $141.14, 931532, $140.76, $141.36, $138.71
07/24/2020, $140.82, 789998, $141.48, $141.94, $139.32
07/23/2020, $142.12, 878821, $144.23, $145.33, $141.59
07/22/2020, $144.23, 726369, $143.74, $145.585, $143
07/21/2020, $143.42, 1009789, $146.25, $146.9, $143.08
07/20/2020, $145.01, 1470376, $140.41, $145.35, $140.28
07/17/2020, $139.93, 1648877, $140.01, $140.91, $137.43
07/16/2020, $139.87, 3079519, $141, $145.85, $139.53
07/15/2020, $139.7, 1046719, $141.7, $142.4013, $138.6
07/14/2020, $138.25, 1526303, $137.53, $138.28, $134.7
07/13/2020, $138.4, 1588339, $147, $147.05, $138.32
07/10/2020, $146.09, 686980, $147.64, $147.73, $145.72
07/09/2020, $147.99, 842771, $148.92, $149.46, $146.24
07/08/2020, $147, 1229911, $145.99, $147.63, $145.32
07/07/2020, $145.53, 1582992, $148.06, $148.82, $145.28
07/06/2020, $149.15, 1552449, $151.86, $152.7, $149
07/02/2020, $149.88, 1849623, $155, $155.91, $149.44
07/01/2020, $153.1, 1381944, $154.9, $157, $152.06
06/30/2020, $154.86, 2277561, $152.07, $156.8, $150.79
06/29/2020, $150.99, 1276487, $147.78, $151.45, $146.26
06/26/2020, $146.5, 2144071, $149.68, $151.63, $146.28
06/25/2020, $149.45, 2386208, $151.94, $152.26, $146.96
06/24/2020, $152.73, 5258642, $155.55, $161.951, $151.94
06/23/2020, $149.23, 1560160, $149, $150.7717, $148.4
06/22/2020, $148, 1295119, $150, $150.83, $146.41
06/19/2020, $150.69, 3184633, $148.23, $152, $147.42
06/18/2020, $143.43, 1420195, $141.44, $143.66, $139.46
06/17/2020, $141.24, 1225517, $141, $143.77, $140.65
06/16/2020, $139.49, 1254680, $140.02, $142.05, $138.33
06/15/2020, $136.89, 1584006, $133.47, $137.93, $132.41
06/12/2020, $135.85, 1332531, $139.47, $140.68, $133.21
06/11/2020, $136.29, 1513872, $142.29, $142.86, $135.94
06/10/2020, $144.79, 1467289, $147.05, $147.81, $144.27
06/09/2020, $146.41, 1194204, $151.62, $151.85, $146.41
06/08/2020, $151.85, 1358105, $151.2, $153.19, $148.64
06/05/2020, $149.77, 1531144, $148.96, $152.19, $148.7
06/04/2020, $148.08, 1318119, $148.51, $150.15, $146.88
06/03/2020, $149.39, 1222637, $151.94, $152.49, $149.3
06/02/2020, $152.94, 1678956, $154.58, $155.9866, $151.93
06/01/2020, $154.14, 2120284, $153.92, $156.09, $152.18
05/29/2020, $156.27, 5199432, $154.5, $157, $151.18
05/28/2020, $142.44, 2256609, $140.32, $143.72, $139.61
05/27/2020, $139.66, 1267519, $138.95, $140.25, $134.45
05/26/2020, $137.93, 1523520, $139.32, $139.66, $136.3
05/22/2020, $134.6, 1389551, $135.24, $135.8, $133.24
05/21/2020, $136.56, 1194080, $139.46, $140.89, $135.32
05/20/2020, $140.07, 1152360, $140.46, $141.44, $136.125
05/19/2020, $139.31, 917457, $139, $141.6835, $137.72
05/18/2020, $139.03, 1020065, $138, $140.73, $136.96
05/15/2020, $134.48, 974988, $134.01, $135.245, $132
05/14/2020, $133.82, 842683, $130.03, $134.1, $128.8
05/13/2020, $134.86, 1258298, $137.5, $139.03, $132.2
05/12/2020, $138.05, 1576697, $141.66, $141.8799, $136.85
05/11/2020, $141.12, 1070330, $139.3, $142.69, $138.25
05/08/2020, $140.31, 1553079, $135, $140.96, $134.3878
05/07/2020, $133.3, 1489730, $129.02, $133.76, $127.97
05/06/2020, $126.87, 868562, $128.43, $129.58, $126.75
05/05/2020, $126.78, 943276, $126.97, $130.29, $126.02
05/04/2020, $126.34, 768214, $124.43, $126.53, $122.7728
05/01/2020, $125.34, 891405, $129, $129, $124.9
04/30/2020, $131.52, 707989, $134.05, $134.32, $131
04/29/2020, $134.97, 1273745, $131.44, $135.32, $130.12
04/28/2020, $129.63, 797903, $132.14, $132.53, $129.2
04/27/2020, $129.95, 599320, $130.06, $131.36, $129.7213
04/24/2020, $128.17, 759116, $127.62, $129.61, $126.3835
04/23/2020, $126.42, 1026961, $127.49, $128.75, $126
04/22/2020, $128, 842344, $127.59, $128.9333, $126.2
04/21/2020, $124.97, 2040408, $129.91, $130.59, $121.78
04/20/2020, $132.62, 1719880, $133.58, $136.51, $132.065
04/17/2020, $136.48, 1436506, $137.67, $138.5, $134.43
04/16/2020, $135.3, 1710458, $135.24, $139.13, $134.09
04/15/2020, $133.54, 1561212, $131.83, $135.39, $131.83
04/14/2020, $136.06, 1954890, $133.1, $137, $131.64
04/13/2020, $129.93, 2224839, $130.29, $131.89, $127.77
04/09/2020, $131.43, 1051038, $132, $134.65, $129.84
04/08/2020, $130.46, 1664776, $124.9, $131.5, $124.1
04/07/2020, $123.55, 1827504, $126.29, $127.67, $122.64
04/06/2020, $122.94, 1823640, $122.56, $123.49, $119.08
04/03/2020, $116.97, 1330916, $117.86, $119.8, $114.73
04/02/2020, $118.2, 1273632, $114.57, $119, $112.252
04/01/2020, $116, 1454552, $116.88, $120.77, $114.2
03/31/2020, $121.1, 1581803, $120.32, $124.75, $120.01
03/30/2020, $120.52, 1403638, $116.46, $123, $116.1
03/27/2020, $115.74, 2095578, $119.47, $120.21, $112.57
03/26/2020, $124.72, 1982957, $116.74, $127.865, $116.6
03/25/2020, $116.2, 1924569, $114, $123.28, $112.07
03/24/2020, $112.53, 1678993, $113.58, $115.79, $106.08
03/23/2020, $105.74, 1675829, $104.67, $109.36, $99.27
03/20/2020, $105.72, 2554359, $103.85, $113.19, $102.22
03/19/2020, $100.19, 2388203, $91.76, $105.68, $86.81
03/18/2020, $93.01, 1676616, $90, $93.56, $87.82
03/17/2020, $95.84, 2296543, $97.41, $99.32, $86
03/16/2020, $95.94, 1812536, $96.56, $103.51, $95.24
03/13/2020, $107.88, 2184363, $103.52, $108.08, $97.06
03/12/2020, $97.85, 2690766, $96.738, $101.325, $96.38
03/11/2020, $106.01, 1827429, $110.67, $112.21, $104.27
03/10/2020, $113.84, 2155908, $113.93, $114.49, $106.2
03/09/2020, $109.45, 2654013, $107.26, $112.52, $105.65
03/06/2020, $117.13, 1952930, $117.76, $119.53, $114.56
03/05/2020, $121.88, 1937431, $122.22, $124.2, $120.28
03/04/2020, $125.57, 2274206, $122.49, $128.2, $121.75
03/03/2020, $120.59, 2415496, $121.96, $126.4, $116.62
03/02/2020, $121.74, 3551200, $120.84, $122.77, $116.67
02/28/2020, $120.52, 5873255, $122.63, $128.52, $116
02/27/2020, $135.63, 3042452, $140.07, $143.04, $135.45
02/26/2020, $144.27, 1479140, $148.7, $150.2699, $143.27
02/25/2020, $147.04, 1368136, $153.05, $153.28, $145.6788
02/24/2020, $151.69, 1457462, $152.66, $153.43, $149.32
02/21/2020, $159.87, 1381543, $159.23, $160.59, $158.16
02/20/2020, $162.2, 1136410, $162.34, $163.12, $158.0801
02/19/2020, $162.33, 711981, $161.5, $163.17, $161.25
02/18/2020, $160.36, 678341, $160.49, $161.2, $159.22
02/14/2020, $161.82, 1389010, $159.07, $161.97, $159
02/13/2020, $159.01, 1031281, $158.17, $159.12, $156.45
02/12/2020, $158.87, 1004240, $157.19, $159.37, $157
02/11/2020, $156.19, 1339799, $159, $159.78, $155.94
02/10/2020, $157.87, 829501, $154.34, $158.38, $153.51
02/07/2020, $156.27, 847346, $156.67, $156.69, $154.63
02/06/2020, $157.5, 1539387, $156.48, $158.73, $155.225
02/05/2020, $151.56, 1159135, $155.1, $156.89, $151.25
02/04/2020, $153.6, 946427, $151.5, $154.27, $150.62
02/03/2020, $149.32, 658083, $148.5, $149.94, $148.28
01/31/2020, $148.06, 1151703, $150.59, $150.59, $146.4406
01/30/2020, $151.23, 990300, $147.49, $151.63, $146.44
01/29/2020, $148.4, 694110, $149.79, $150.5, $147.94
01/28/2020, $148.81, 819140, $146.14, $149.37, $146.14
01/27/2020, $145.24, 1092729, $147.75, $147.75, $145.24
01/24/2020, $150.63, 1070682, $153.78, $157.35, $150.25
01/23/2020, $153.08, 1085570, $150.11, $153.81, $149.4
01/22/2020, $149.96, 1125615, $150.74, $152.43, $149.84
01/21/2020, $148.68, 1158494, $151, $151.35, $148.29
01/17/2020, $151.36, 792628, $153.45, $153.81, $150.69
01/16/2020, $152.2, 1088752, $151, $153.77, $151
01/15/2020, $149.64, 988632, $152.74, $152.88, $149.42
01/14/2020, $152.09, 1179409, $152.44, $155.18, $151.6971
01/13/2020, $152, 1188509, $150.81, $152.257, $149.52
01/10/2020, $149.87, 1050288, $152.52, $152.69, $149.53
01/09/2020, $151.8, 1200466, $153, $153.98, $150.15
01/08/2020, $151.55, 1598756, $151.35, $151.93, $147.605
01/07/2020, $150.34, 1265900, $153.69, $155.23, $149.87
01/06/2020, $154.06, 779752, $153, $154.14, $151.54
01/03/2020, $154.02, 1058208, $153.02, $155.71, $152.89
01/02/2020, $155.64, 1095724, $153.74, $155.71, $152.62
12/31/2019, $151.79, 689312, $152.13, $153.25, $151.43
12/30/2019, $152.43, 782454, $154.16, $154.16, $151.4
12/27/2019, $154.16, 695160, $153.96, $154.61, $152.9
12/26/2019, $153.46, 596916, $152.2, $153.67, $152.18
12/24/2019, $151.02, 422734, $152.68, $152.8, $150.31
12/23/2019, $152.68, 771001, $151.22, $152.8, $150.63
12/20/2019, $151.04, 1705435, $148.93, $151.3, $148.65
12/19/2019, $148.68, 939399, $148.75, $149.5, $147.9
12/18/2019, $149, 1387794, $149, $151.15, $148.55
12/17/2019, $148.94, 1253490, $151.48, $151.48, $148.8
12/16/2019, $150.89, 1262829, $151.76, $152, $150.03
12/13/2019, $151.3, 1263323, $155.69, $155.88, $151.25
12/12/2019, $156.14, 1810050, $150.5, $156.25, $149.22
12/11/2019, $150.91, 1111564, $148.53, $151.03, $148.4
12/10/2019, $148.73, 1214127, $150.76, $152.15, $148.155
12/09/2019, $149.43, 1542068, $147, $150.319, $146.86
12/06/2019, $147.08, 1270101, $148.81, $149.06, $146.36
12/05/2019, $148.32, 1207194, $152.69, $153.159, $147.89
12/04/2019, $151.09, 1439454, $150.56, $152.22, $149.3
12/03/2019, $149.41, 3505984, $149.77, $150.72, $146.44
12/02/2019, $153.85, 1954689, $155.51, $155.75, $150.39
11/29/2019, $155.62, 1304381, $160.27, $160.91, $155.5
11/27/2019, $161.15, 4774862, $169.81, $172.34, $160.05
11/26/2019, $164.9, 2535314, $170, $171.62, $164.32
11/25/2019, $168.73, 1166421, $167, $170.08, $166.18
11/22/2019, $165.86, 1374531, $166.12, $166.97, $163.37
11/21/2019, $165.7, 798083, $169.28, $169.71, $165.46
11/20/2019, $169.62, 814043, $171.59, $172.53, $168.565
11/19/2019, $172.82, 1226722, $169.06, $173.37, $168.4875
11/18/2019, $167.36, 892532, $168, $168.78, $166.47
11/15/2019, $168.37, 720844, $167.34, $168.77, $165.57
11/14/2019, $165.95, 724899, $164.83, $166.61, $163.5083
11/13/2019, $165.83, 819079, $166.82, $168.5, $165.37
11/12/2019, $167.97, 1115299, $166.33, $169.33, $166.18
11/11/2019, $165.73, 659685, $164.11, $166.57, $163.53
11/08/2019, $164.95, 458173, $163.58, $165.1, $161.4
11/07/2019, $163.64, 683437, $164.87, $166.36, $163.12
11/06/2019, $163.91, 614874, $163.25, $163.96, $161.415
11/05/2019, $163.25, 683713, $164, $165.2, $162.34
11/04/2019, $163.55, 857397, $163.7, $165.35, $161.33
11/01/2019, $163.06, 838524, $159.72, $163.1, $158.6
10/31/2019, $158.27, 695884, $160.42, $160.7, $157.11
10/30/2019, $161.22, 526018, $160, $161.56, $158.5
10/29/2019, $159.52, 796494, $156.75, $160.69, $156.44
10/28/2019, $156.51, 851949, $160.13, $161.5, $156.51
10/25/2019, $159.19, 917751, $157.68, $160.23, $157.11
10/24/2019, $157.78, 694043, $155.35, $157.96, $153.41
10/23/2019, $154.05, 601330, $152.52, $154.43, $152.06
10/22/2019, $153.02, 629035, $153, $153.85, $152.27
10/21/2019, $152.36, 701066, $153.13, $153.43, $151.82
10/18/2019, $152.14, 1855504, $152.05, $155.41, $150.76
10/17/2019, $152.08, 1265576, $152.39, $153.89, $151.08
10/16/2019, $152.39, 1055754, $151, $152.98, $150.2
10/15/2019, $154.53, 648742, $155.14, $156.4, $154.37
10/14/2019, $154.37, 496003, $154.89, $155.6539, $152.94
10/11/2019, $154.95, 1331014, $153.88, $157.67, $153.88
10/10/2019, $151.67, 840610, $151.36, $152.4, $150.14
10/09/2019, $152.11, 917499, $151.1, $152.48, $150.39
10/08/2019, $149.4, 1232263, $150.97, $151.77, $148.46
10/07/2019, $152.62, 1284444, $152.18, $153.8, $151.7
10/04/2019, $153.95, 1009362, $154.54, $154.9445, $151.95
10/03/2019, $153.49, 952624, $152.8, $154.63, $148.8
10/02/2019, $152.57, 1634331, $151.7, $153.22, $150.64
10/01/2019, $153.8, 1921577, $154.49, $156.73, $151.94
09/30/2019, $150.06, 1040782, $146.38, $150.545, $146.05
09/27/2019, $145.88, 1018332, $148, $149.44, $144.19
09/26/2019, $147.36, 1167421, $149.31, $149.874, $145.39
09/25/2019, $149.06, 1031485, $146.15, $149.8, $144.76
09/24/2019, $146.15, 1632741, $152.77, $153.74, $145.81
09/23/2019, $152.05, 907036, $150, $152.19, $148.625
09/20/2019, $150.78, 2267067, $152.12, $153.11, $149.26
09/19/2019, $151.69, 1391263, $150.35, $153.45, $150.35
09/18/2019, $150.35, 2056940, $153.62, $153.62, $148.5
09/17/2019, $153.79, 1446248, $155.6, $156.6, $152.22
09/16/2019, $155.87, 1592289, $151, $156.63, $150.5
09/13/2019, $151.11, 1520471, $154.05, $154.25, $150.56
09/12/2019, $154.04, 1442474, $155.87, $156.3343, $153.08
09/11/2019, $154.43, 2025092, $152, $155.49, $150.25
09/10/2019, $153.31, 1917727, $145.35, $153.35, $144.61
09/09/2019, $147.44, 1504294, $148.1, $148.715, $144.75
09/06/2019, $147.17, 1430742, $148.93, $149.68, $147.09
09/05/2019, $147.9, 2237149, $149.11, $149.2, $144.3564
09/04/2019, $145.43, 1642566, $143.21, $145.97, $142.98
09/03/2019, $142.34, 2160126, $140, $142.9, $139.21
08/30/2019, $141.44, 3694639, $137.98, $143.55, $137.84
08/29/2019, $135.73, 2344986, $133.45, $136.93, $133.45
08/28/2019, $132.45, 1653995, $130, $133.44, $128.69
08/27/2019, $130.56, 2811619, $134.59, $134.89, $129.12
08/26/2019, $132.8, 2379145, $135.48, $135.9, $132.56
08/23/2019, $133.42, 6682906, $139, $139.49, $133
08/22/2019, $148.15, 2210902, $149, $149.34, $145.35
08/21/2019, $148.09, 2090561, $146.5, $151.48, $146.25
08/20/2019, $144.42, 1459217, $144.01, $146.29, $142.86
08/19/2019, $144.18, 1884635, $147.24, $147.24, $143.81
08/16/2019, $143.72, 2519381, $143.62, $145.35, $141.9
08/15/2019, $142.35, 4109327, $148.74, $149, $141.16
08/14/2019, $153.09, 1248468, $155.01, $155.1648, $150.33
08/13/2019, $158, 1455354, $157.6, $161.89, $156.85
08/12/2019, $158.28, 871134, $156.61, $159.0447, $155.0004
08/09/2019, $157.5, 673074, $157.98, $159.5306, $155.74
08/08/2019, $158.67, 997419, $156.47, $159.38, $154.22
08/07/2019, $155.7, 1294455, $152.8, $156.285, $152.19
08/06/2019, $155, 1057058, $157, $159.1, $154.51
08/05/2019, $155.76, 1875585, $157.2, $159.52, $153.7628
08/02/2019, $162.68, 2758210, $174.26, $175.32, $161.72
08/01/2019, $177.4, 1145025, $175.21, $179.67, $175.06
07/31/2019, $174.49, 987392, $177.49, $177.98, $172.22
07/30/2019, $177.23, 605801, $176.2, $178.53, $174.9131
07/29/2019, $177.66, 828232, $178.75, $179, $173.4
07/26/2019, $178.31, 725303, $178.39, $179.2773, $177.17
07/25/2019, $178.28, 734332, $180.19, $180.19, $176.16
07/24/2019, $180.57, 609389, $179.22, $181.02, $178.7
07/23/2019, $178.78, 1170208, $182.78, $182.78, $176.03
07/22/2019, $181.87, 1423562, $179.25, $183.5, $179.25
07/19/2019, $179.5, 1955163, $176.54, $181.69, $175.66
07/18/2019, $174.33, 1173194, $173.48, $176.98, $173.035
07/17/2019, $174.05, 1016067, $172.29, $174.83, $170.135
07/16/2019, $172.29, 1288959, $172.66, $175.24, $172.24
07/15/2019, $172.21, 1101302, $170.11, $172.62, $169.75
07/12/2019, $169.7, 1906702, $169.26, $170, $167.54
07/11/2019, $168.49, 1044884, $167.19, $169.21, $166.03
07/10/2019, $166.57, 1346372, $164.46, $168.74, $164.15
07/09/2019, $163.24, 2204175, $164.6, $164.9, $161.5
07/08/2019, $165.14, 1526931, $167.71, $168.9125, $165.07
07/05/2019, $169.18, 887906, $169.08, $169.98, $167.03
07/03/2019, $169.46, 1201710, $170.13, $171.74, $169.08
07/02/2019, $168.99, 1551181, $168.62, $169.83, $166.2
07/01/2019, $168.77, 1492162, $170.64, $172.99, $168.41
06/28/2019, $167.21, 2115151, $171.92, $172.68, $166.16
06/27/2019, $171.66, 1095571, $173.38, $174.9, $171.31
06/26/2019, $172.26, 947875, $173, $177.18, $172
06/25/2019, $170.87, 1041556, $175.06, $175.41, $170.28
06/24/2019, $175.52, 893217, $174.18, $176.12, $172.27
06/21/2019, $173.39, 1533874, $176.65, $177.34, $172.87
06/20/2019, $176.92, 1514958, $176.76, $178.77, $175.76
06/19/2019, $173.42, 1592211, $170.42, $173.805, $169.22
