Date, Close/Last, Volume, Open, High, Low
09/17/2020, $275.72, 8016913, $273.11, $275.9, $272.3213
09/16/2020, $278.14, 9591242, $281.03, $283.605, $278
09/15/2020, $277.96, 8291360, $278, $279.1, $274.8
09/14/2020, $274.1, 7883271, $275.36, $276.29, $271.76
09/11/2020, $271.61, 9412804, $272.63, $274.53, $268.12
09/10/2020, $267.55, 10676760, $274.9, $277.1, $267.4
09/09/2020, $273.15, 9465664, $274.45, $275.64, $270.88
09/08/2020, $270.02, 12734050, $270.23, $273.97, $266.59
09/04/2020, $281.39, 15885840, $279.6, $283.78, $267.39
09/03/2020, $282.5, 16766250, $289, $290.7334, $278.16
09/02/2020, $296.07, 12638550, $299, $299, $289.79
09/01/2020, $298, 13815920, $289.2, $298, $288.87
08/31/2020, $287.03, 13253800, $288.62, $289.19, $283.61
08/28/2020, $289, 9689610, $285.09, $289.5, $283.57
08/27/2020, $284.17, 14805800, $290.17, $290.25, $282.1
08/26/2020, $291.96, 19530250, $289.26, $292.48, $284.1
08/25/2020, $286, 27535470, $278.06, $289.12, $276.04
08/24/2020, $276.02, 22475760, $273.24, $276.97, $271.62
08/21/2020, $265.8, 25648220, $259.03, $267.43, $258.31
08/20/2020, $257.97, 21460770, $256.89, $258.88, $254.18
08/19/2020, $260.59, 14096510, $260.89, $261.29, $257.38
08/18/2020, $259.2, 13267830, $258.71, $261.42, $256.06
08/17/2020, $256.96, 9759984, $253, $257.375, $250.085
08/14/2020, $253.97, 7876422, $255.49, $255.77, $251.64
08/13/2020, $253.72, 8794502, $256.39, $256.97, $252.8799
08/12/2020, $255.19, 11120390, $249.25, $256.08, $248.68
08/11/2020, $248.42, 10681760, $251.29, $252.88, $247.83
08/10/2020, $248.13, 13621710, $249.34, $251.7499, $246.1
08/07/2020, $252.1, 22529640, $257.41, $257.76, $247.57
08/06/2020, $265.68, 10359470, $263.42, $265.7, $259.2
08/05/2020, $264.91, 10729170, $263.74, $265.976, $261.755
08/04/2020, $262.2, 10994460, $260.08, $262.56, $258.82
08/03/2020, $257.94, 11534530, $254.02, $260.65, $254
07/31/2020, $251.02, 12310670, $254.2, $254.4, $248.1
07/30/2020, $252.74, 7032900, $251.7, $253.86, $249.62
07/29/2020, $252.45, 11493580, $250.34, $254.3, $250.1
07/28/2020, $249.05, 9878735, $251.15, $251.65, $248.53
07/27/2020, $250.86, 18966860, $247.11, $252.87, $245.81
07/24/2020, $249, 17221470, $244.96, $249.48, $241.89
07/23/2020, $251.88, 25711960, $252.1, $257.66, $248.69
07/22/2020, $251.7, 19682210, $255.76, $256.27, $249.6
07/21/2020, $257.9, 17130280, $261.21, $261.92, $256.52
07/20/2020, $254.81, 19014960, $256.45, $257.67, $252.43
07/17/2020, $247.14, 18752950, $246.55, $247.9299, $244.48
07/16/2020, $242.5, 18032140, $241.77, $245.05, $240.74
07/15/2020, $249.21, 12614710, $251.48, $252.5, $246.54
07/14/2020, $248.58, 19782610, $246.57, $249.75, $241.23
07/13/2020, $251.67, 21568750, $261.45, $265.66, $250.68
07/10/2020, $261.01, 20335040, $260.21, $261.9, $255.71
07/09/2020, $261.58, 36803870, $265.55, $268, $255.91
07/08/2020, $257.68, 39922720, $244.86, $258.49, $244.02
07/07/2020, $236.51, 16491640, $241.01, $241.3, $236.13
07/06/2020, $240, 33702920, $233.31, $240.48, $232.82
07/02/2020, $223.6, 18128690, $221.85, $225.025, $220.06
07/01/2020, $215.95, 11788090, $215.81, $216.55, $214.74
06/30/2020, $215.7, 12933790, $215.74, $216.43, $212.89
06/29/2020, $215.02, 12333040, $215.03, $216.5, $211.82
06/26/2020, $215.71, 19340640, $222.21, $222.26, $213.5
06/25/2020, $222.16, 14953100, $224.59, $224.69, $220.87
06/24/2020, $226.22, 12159460, $228.3, $231.03, $224.2524
06/23/2020, $228.75, 18263430, $225.12, $230.225, $224.53
06/22/2020, $221.41, 13303570, $220.92, $222.08, $219.445
06/19/2020, $220.64, 19545190, $226.38, $226.5, $220.09
06/18/2020, $223.54, 10358780, $223.74, $226.03, $222.92
06/17/2020, $224.25, 12486740, $224.4, $225, $222.5
06/16/2020, $222.62, 17212390, $221, $224.84, $220.1001
06/15/2020, $217.03, 17419860, $214.11, $217.72, $212.75
06/12/2020, $217.64, 12716540, $218.5, $219.5, $213.88
06/11/2020, $215.24, 15560260, $218, $219.95, $213.56
06/10/2020, $223.68, 13372410, $222, $225, $220.6
06/09/2020, $220.72, 14140090, $216.31, $220.72, $216.2
06/08/2020, $219, 12731210, $219.6, $220.4, $215.33
06/05/2020, $219.55, 11983200, $220, $220.59, $218.7
06/04/2020, $218.04, 14962420, $217.28, $220, $216.32
06/03/2020, $218.61, 19999510, $215.6, $218.97, $213.75
06/02/2020, $214.33, 22485810, $207.21, $214.57, $207.17
06/01/2020, $206.57, 16169730, $205.9, $207.2, $203.94
05/29/2020, $207.39, 43211480, $200, $207.88, $196.7
05/28/2020, $199.49, 18787180, $199, $202.37, $197.62
05/27/2020, $201.18, 23605370, $202.99, $202.99, $196.75
05/26/2020, $201.72, 28683230, $205.94, $206.8, $201
05/22/2020, $199.7, 51979250, $203.23, $204.88, $198.99
05/21/2020, $212.16, 29850680, $211.29, $214.58, $209.53
05/20/2020, $216.79, 38324070, $220, $221.1574, $210.58
05/19/2020, $217.2, 21438090, $216.73, $220.59, $215.19
05/18/2020, $215.28, 23646770, $212.5, $215.47, $210.37
05/15/2020, $203.68, 17209460, $200.7, $204.4899, $200.1
05/14/2020, $201.3, 20025900, $195.5, $201.77, $194.03
05/13/2020, $199.46, 22429700, $203.62, $204.68, $197.98
05/12/2020, $200.31, 17826810, $206.95, $208.05, $200.02
05/11/2020, $205.4, 17920670, $202.78, $206.64, $202.38
05/08/2020, $201.19, 23830130, $199.8, $203.02, $198.68
05/07/2020, $196.49, 16164640, $198, $198.09, $194.78
05/06/2020, $195.17, 18598890, $197.67, $198.91, $194.93
05/05/2020, $195.02, 22957250, $196.38, $198.27, $194.2
05/04/2020, $191.15, 25709380, $194.76, $195, $189.53
05/01/2020, $194.48, 22276190, $195.75, $197.38, $192.86
04/30/2020, $202.67, 20107380, $206.25, $206.7, $199.29
04/29/2020, $206.7, 19117820, $202.93, $207.08, $202.51
04/28/2020, $201.15, 17203780, $204.81, $205.19, $199.407
04/27/2020, $203.69, 17286820, $207.55, $207.78, $202.03
04/24/2020, $204.36, 14682370, $205.89, $206.5, $202.82
04/23/2020, $205.24, 20424050, $210.24, $210.56, $203.46
04/22/2020, $209.96, 13486060, $212, $212, $209.21
04/21/2020, $207.34, 14107610, $209.9, $212.13, $205.03
04/20/2020, $212.13, 19295400, $209.87, $216.1, $209.36
04/17/2020, $209.5, 13558470, $214.9797, $214.9797, $208.8514
04/16/2020, $212.66, 16353820, $210.53, $213.25, $209.12
04/15/2020, $208.17, 10768070, $204.77, $209.15, $201.31
04/14/2020, $204.78, 16757150, $204.95, $207.97, $204.25
04/13/2020, $199.44, 16117870, $197.4, $200.325, $195.53
04/09/2020, $196.37, 17821330, $198.65, $200.35, $193.4
04/08/2020, $195.98, 13607950, $198.34, $198.86, $193.8835
04/07/2020, $198, 14934470, $200.05, $201.45, $197.05
04/06/2020, $196.45, 13248680, $194.74, $196.88, $192.7
04/03/2020, $187.11, 9483140, $190.12, $190.55, $185.41
04/02/2020, $188.9, 13412060, $186.08, $191.3, $185.6922
04/01/2020, $187.56, 17948560, $189.5, $192.87, $185.04
03/31/2020, $194.48, 19084780, $192, $196.79, $190.6
03/30/2020, $191.27, 12254430, $187.48, $191.48, $187.01
03/27/2020, $188.59, 13376350, $189.97, $192.74, $188
03/26/2020, $195.32, 15426100, $188.64, $196.32, $187.6
03/25/2020, $188.56, 19605250, $185.82, $195.19, $184.5151
03/24/2020, $185.75, 20801490, $183.09, $188.8, $181.18
03/23/2020, $176.34, 22554720, $175.27, $178.5, $169.95
03/20/2020, $181.3, 21006080, $187.74, $188.3, $180
03/19/2020, $180.88, 20905690, $179.26, $187.25, $177.39
03/18/2020, $180, 22054200, $176, $182.41, $170
03/17/2020, $184.81, 19276540, $181.26, $189.39, $179.69
03/16/2020, $178.85, 26628480, $176.15, $188, $174.5
03/13/2020, $194, 23650500, $194.9, $195.99, $187.81
03/12/2020, $185.1, 30247100, $186.5, $190.4865, $183.93
03/11/2020, $198.91, 18931800, $201.65, $203.1, $196.11
03/10/2020, $206.39, 19022620, $205.53, $207.45, $200.8
03/09/2020, $197.66, 25502570, $195.62, $199.89, $193.93
03/06/2020, $204.64, 21700510, $206.7, $207, $201.1
03/05/2020, $211.46, 13462890, $210, $215.15, $209.14
03/04/2020, $211.96, 12474380, $209.49, $212.7, $208.85
03/03/2020, $207.41, 20813800, $211.08, $211.39, $202.2398
03/02/2020, $210.98, 21542240, $208.59, $211.11, $203.7563
02/28/2020, $208, 31276200, $198.98, $208.92, $198.561
02/27/2020, $205.03, 22741180, $205.01, $209.97, $201.86
02/26/2020, $208.74, 19544270, $206.8, $213.08, $206.79
02/25/2020, $205.61, 18132380, $208.51, $209.95, $204.1
02/24/2020, $206.16, 19380230, $203.55, $207.28, $202.51
02/21/2020, $212.59, 17700800, $217.54, $217.6, $211.56
02/20/2020, $218.04, 14950090, $222.5, $222.5, $214.22
02/19/2020, $222.14, 10798110, $221.52, $223.56, $220.75
02/18/2020, $220.52, 13024900, $218.55, $220.85, $217.51
02/14/2020, $219.63, 10689950, $221.1, $221.64, $218.23
02/13/2020, $220.36, 28069670, $220, $225, $218.99
02/12/2020, $224.31, 18671910, $221.13, $225.52, $220.21
02/11/2020, $217.21, 16073460, $219.91, $220.01, $215.29
02/10/2020, $215.77, 17420300, $213.5, $215.77, $212.2
02/07/2020, $216.53, 13790260, $217.46, $217.84, $214.88
02/06/2020, $220.9, 10790820, $223.13, $223.65, $219.78
02/05/2020, $220.22, 15766070, $226.52, $226.7, $217.54
02/04/2020, $222.88, 16695140, $221.35, $224.38, $220.49
02/03/2020, $213.1, 14131890, $208.67, $215.02, $208.67
01/31/2020, $206.59, 18181410, $206.5, $207.93, $204.7282
01/30/2020, $208.58, 14376000, $207.88, $209.86, $205.03
01/29/2020, $212.02, 12896300, $212.56, $213.98, $209.52
01/28/2020, $210.23, 16196720, $209.74, $210.91, $207.17
01/27/2020, $205.47, 24574680, $201.22, $208.02, $199.5
01/24/2020, $213.75, 18143870, $218.49, $219.83, $211.3251
01/23/2020, $219.13, 18519890, $217.93, $220.13, $216.77
01/22/2020, $222.37, 10059580, $224.69, $225.58, $222
01/21/2020, $222.26, 15831090, $222.45, $222.6, $220.7295
01/17/2020, $227.43, 12956200, $225.9, $228, $225.35
01/16/2020, $223.94, 13712550, $226.3, $226.33, $222.73
01/15/2020, $225.06, 10743370, $226.65, $227.82, $224.39
01/14/2020, $226.49, 17302160, $230.05, $230.175, $224.88
01/13/2020, $230.48, 17571890, $228.81, $231.14, $227.04
01/10/2020, $223.83, 12302130, $223.9, $225.96, $222.061
01/09/2020, $221.78, 13143890, $221.5, $223.08, $220.82
01/08/2020, $218, 11983090, $216.6, $220.65, $216.32
01/07/2020, $217.63, 9539012, $217.64, $218.94, $216.69
01/06/2020, $216.64, 11892480, $214.89, $217.16, $214.09
01/03/2020, $217, 8608281, $216.35, $218.2025, $216.01
01/02/2020, $219.77, 15882900, $216.6, $219.98, $216.54
12/31/2019, $212.1, 6776071, $212, $213.64, $210.73
12/30/2019, $212.91, 8745942, $215.78, $215.78, $211.76
12/27/2019, $215.47, 11678670, $217.99, $218.11, $215.17
12/26/2019, $216.38, 6917445, $214.65, $216.99, $214.33
12/24/2019, $214.26, 5522987, $215.01, $215.43, $213.35
12/23/2019, $214.83, 12538760, $213.25, $215.05, $212.91
12/20/2019, $212.25, 26672840, $211.35, $213.98, $210.42
12/19/2019, $210.13, 12168470, $209.61, $211.37, $209.23
12/18/2019, $210, 13497200, $208.53, $210.05, $208.04
12/17/2019, $208.18, 11299100, $208.69, $208.87, $206.82
12/16/2019, $206.97, 16744470, $206.33, $209.15, $206.19
12/13/2019, $204.91, 19283800, $205.76, $207.1, $203.77
12/12/2019, $204.5, 22494330, $203.71, $206, $202
12/11/2019, $204.64, 11770950, $201.1, $204.8, $200.72
12/10/2019, $200.45, 11635950, $200.71, $202.48, $199.23
12/09/2019, $198.74, 14340920, $200.32, $203.43, $198.55
12/06/2019, $201.89, 14095650, $201.11, $202, $199.51
12/05/2019, $200, 22310250, $196.93, $200.94, $196.43
12/04/2019, $193.74, 14862560, $195.53, $196.66, $193.23
12/03/2019, $194.9, 18440370, $190.97, $195, $189.85
12/02/2019, $196.31, 19414420, $198.58, $198.67, $193.51
11/29/2019, $200, 18593110, $199.81, $200.43, $198.3502
11/27/2019, $200.82, 33129380, $197.24, $200.98, $197
11/26/2019, $194.7, 51885410, $190.39, $195, $189.04
11/25/2019, $190.45, 19193460, $188.32, $190.72, $187.88
11/22/2019, $186.78, 10541030, $185.8, $186.78, $183.935
11/21/2019, $184.86, 10254740, $181.77, $184.89, $181.6
11/20/2019, $182.35, 16694400, $183.67, $183.7, $181.06
11/19/2019, $185.25, 13457360, $186.31, $186.71, $183.87
11/18/2019, $184.61, 11830910, $186.98, $186.98, $184.16
11/15/2019, $185.49, 11312540, $184, $185.6, $183.71
11/14/2019, $182.8, 12750090, $182.87, $184.5, $181.3212
11/13/2019, $182.48, 15428500, $185.47, $185.674, $181
11/12/2019, $186.97, 11797650, $185.91, $187.65, $185.14
11/11/2019, $186.71, 20572430, $184.82, $187.2, $181.37
11/08/2019, $187.16, 19737270, $187.902, $188.28, $185.15
11/07/2019, $186.66, 20162590, $187.07, $188.07, $184.69
11/06/2019, $184.16, 14834860, $183.61, $185, $182.2
11/05/2019, $182, 23690170, $181.42, $183.2, $180.31
11/04/2019, $179.69, 44541240, $180.66, $182.4, $178.02
11/01/2019, $176.46, 28924120, $179.01, $182.12, $176.06
10/31/2019, $176.67, 15119040, $179.16, $179.24, $175.5
10/30/2019, $177.53, 10213240, $175.42, $177.88, $173.9359
10/29/2019, $176.89, 8026377, $177.06, $177.74, $175.44
10/28/2019, $178.68, 11739620, $176.5, $179.64, $176.41
10/25/2019, $174.31, 9891760, $171.56, $175.81, $170.88
10/24/2019, $172.55, 7443497, $171.28, $172.75, $170.21
10/23/2019, $169.92, 8906763, $170.45, $171.04, $168.12
10/22/2019, $169.89, 10917330, $174.53, $175.3602, $169.26
10/21/2019, $173.52, 9055175, $172.64, $173.91, $170.87
10/18/2019, $169.13, 14585650, $176, $176.23, $169
10/17/2019, $176.85, 8032763, $178, $178.59, $175.23
10/16/2019, $177.12, 10903840, $175.8, $177.35, $174.12
10/15/2019, $175.29, 13814340, $172.91, $176.75, $172.69
10/14/2019, $171.16, 7859737, $172.84, $173.34, $170.79
10/11/2019, $172.94, 19369500, $170.77, $174.88, $169.57
10/10/2019, $166.07, 11537760, $165.96, $168.57, $164.09
10/09/2019, $165.19, 11189390, $165.5, $166.58, $163.42
10/08/2019, $161.93, 15936340, $164.3, $165.22, $161.68
10/07/2019, $168.32, 12034720, $168.83, $172.3, $167.21
10/04/2019, $170.34, 8856039, $169.6, $170.7, $167.56
10/03/2019, $169.48, 10391650, $166.65, $170.18, $165
10/02/2019, $165.77, 11595460, $162.82, $166.88, $161.9
10/01/2019, $165.15, 14194190, $168.01, $168.23, $163.64
09/30/2019, $167.23, 14945170, $169.887, $170.2, $166.45
09/27/2019, $165.98, 33312610, $176, $176.5, $163.15
09/26/2019, $175, 10004680, $177, $178.23, $174.83
09/25/2019, $176.66, 11842490, $172.3, $176.99, $171.72
09/24/2019, $171.55, 14549170, $179.17, $179.49, $171.3
09/23/2019, $176.98, 14146710, $181.25, $181.33, $176.8
09/20/2019, $182.51, 24822060, $182.31, $183.82, $178.84
09/19/2019, $180.46, 15160790, $180.9, $184.13, $180.43
09/18/2019, $180, 9288193, $179.15, $180.17, $177.58
09/17/2019, $179, 7573188, $176.85, $179.12, $176.05
09/16/2019, $177.07, 10725140, $177.75, $179.17, $175.37
09/13/2019, $179.17, 9479740, $179.74, $180.18, $178.61
09/12/2019, $178.24, 12509430, $177.89, $180.5, $177
09/11/2019, $176.09, 7039290, $176, $176.66, $174.15
09/10/2019, $174.99, 9834972, $176.28, $176.3, $172.22
09/09/2019, $177.78, 6931743, $177.88, $177.99, $175.86
09/06/2019, $176.69, 8303976, $179.01, $179.22, $176.21
09/05/2019, $178.94, 11168480, $176.88, $178.95, $176.52
09/04/2019, $174.33, 7215487, $176.26, $176.55, $173.99
09/03/2019, $172.41, 8509527, $173, $174.72, $172.15
08/30/2019, $175.03, 10304870, $174.35, $175.25, $172.66
08/29/2019, $172.81, 11577240, $171, $173.96, $170.95
08/28/2019, $167.48, 9510283, $164.64, $168, $164.2
08/27/2019, $166.2, 12783690, $167.2, $168.19, $165.19
08/26/2019, $165.9, 8648151, $166.49, $167.45, $165.53
08/23/2019, $164.54, 20909800, $169.69, $171.49, $163.831
08/22/2019, $171.91, 11578160, $174.1, $174.9796, $170.5
08/21/2019, $175.24, 10627500, $177.22, $178.5, $174.89
08/20/2019, $177.21, 10339620, $175.91, $177.99, $175.62
08/19/2019, $178.28, 16012800, $177.43, $178.8, $175.59
08/16/2019, $174.6, 25952540, $170, $177.55, $168.57
08/15/2019, $166.97, 36343490, $170.11, $171, $164.36
08/14/2019, $162.06, 20803680, $161.34, $163, $159.21
08/13/2019, $164.03, 23247910, $160.64, $167.36, $159.57
08/12/2019, $159.31, 14424360, $157.5, $159.38, $155.54
08/09/2019, $159.12, 11894290, $160.98, $161.99, $159.11
08/08/2019, $162.22, 19267700, $161.71, $162.3, $159.12
08/07/2019, $159.17, 17917380, $155.73, $159.48, $155.3
08/06/2019, $157.43, 24996280, $158.48, $158.73, $156.11
08/05/2019, $153.67, 28912590, $155.03, $157.23, $151.85
08/02/2019, $161, 27104670, $162.56, $163.85, $160.35
08/01/2019, $165.65, 32728170, $174.54, $175.7145, $162.1
07/31/2019, $173.11, 14628870, $173.71, $174.89, $170.09
07/30/2019, $174.1, 14300640, $174.25, $175.71, $172.89
07/29/2019, $177.02, 15130310, $178.43, $179.88, $175.35
07/26/2019, $178.74, 15281020, $178.25, $179.4, $176.88
07/25/2019, $177.29, 14048990, $178.49, $179.15, $175.369
07/24/2019, $178.67, 14933110, $178, $178.96, $176.9382
07/23/2019, $178.09, 20881550, $175.39, $178.64, $174.845
07/22/2019, $174, 18497920, $173.5, $174.28, $171.4373
07/19/2019, $172.99, 13647240, $174.87, $175.15, $172.99
07/18/2019, $172.8, 15613200, $173.41, $174.4, $172.06
07/17/2019, $174.82, 15031590, $172.75, $176.22, $172.49
07/16/2019, $174.19, 19039650, $174.2, $175.52, $173.46
07/15/2019, $173.5, 22199050, $171.5, $173.75, $170.42
07/12/2019, $169.07, 18103650, $168, $170.2, $167.65
07/11/2019, $166.55, 14796400, $167.56, $168.424, $165
07/10/2019, $166.93, 16675580, $171.24, $171.37, $166.86
07/09/2019, $168.8, 15782800, $167.085, $168.98, $166.5
07/08/2019, $168.45, 16531020, $170.09, $170.28, $168.35
07/05/2019, $173.3, 12618590, $173.75, $173.82, $172.82
07/03/2019, $174.67, 8532590, $175.69, $175.85, $173.85
07/02/2019, $175.45, 14155170, $175.13, $175.55, $174.25
07/01/2019, $175.05, 25911000, $175.865, $177.95, $174.36
06/28/2019, $169.45, 19974260, $170.2, $170.89, $167.96
06/27/2019, $170.9, 18349360, $170.62, $171.98, $169.38
06/26/2019, $168.99, 22416440, $168.28, $171.24, $168.15
06/25/2019, $165.8, 20447750, $167.04, $167.34, $164.62
