Date, Close/Last, Volume, Open, High, Low
05/28/2020, $138.44, 1069958, $142.39, $142.48, $138
05/27/2020, $141.71, 815160, $137.5, $141.78, $136.31
05/26/2020, $135.58, 813429, $137.62, $138.67, $134.59
05/22/2020, $133.48, 682585, $133.29, $134.21, $131.385
05/21/2020, $134.79, 1512797, $135.57, $136.0199, $130.07
05/20/2020, $135.72, 1216544, $138.23, $140.155, $135.04
05/19/2020, $135.82, 3755680, $140.34, $141.8, $135.245
05/18/2020, $131.11, 1808689, $130.61, $132.89, $128.16
05/15/2020, $126.06, 1307719, $119.91, $127.025, $118.73
05/14/2020, $121.13, 1385450, $117.78, $121.26, $116.76
05/13/2020, $119.24, 1178718, $123.76, $125.05, $118.68
05/12/2020, $124.5, 1010563, $126.7, $126.94, $124.01
05/11/2020, $125.94, 851267, $124.11, $126.39, $123
05/08/2020, $124.85, 911524, $121.9, $125.71, $121.131
05/07/2020, $119.61, 904511, $122.5, $124.905, $118.94
05/06/2020, $121.16, 683793, $121.81, $122.9402, $119.57
05/05/2020, $121.19, 440093, $121.89, $123.59, $121.0035
05/04/2020, $120.11, 460437, $115.43, $120.41, $115
05/01/2020, $116.59, 501708, $118.02, $119.39, $115.965
04/30/2020, $120.91, 750084, $123.33, $123.4199, $118.78
04/29/2020, $124.91, 938407, $123.83, $126.79, $123
04/28/2020, $120.97, 775977, $121.51, $123.24, $119.94
04/27/2020, $118.95, 774436, $118.49, $121.09, $117.466
04/24/2020, $117.59, 1011429, $115.15, $118.3, $114
04/23/2020, $113.39, 895350, $114.5, $118.38, $112.8
04/22/2020, $113.02, 751526, $115.07, $116.34, $112.41
04/21/2020, $113.51, 777965, $115.47, $117.2, $112.97
04/20/2020, $115.4, 941394, $116.83, $117.98, $115.08
04/17/2020, $118.86, 949648, $121.5, $123.399, $115.64
04/16/2020, $117.53, 1139728, $112.84, $118.22, $110.955
04/15/2020, $111.99, 835088, $110.95, $112.95, $108.89
04/14/2020, $115.39, 922560, $111.24, $116.33, $111.14
04/13/2020, $110, 1175570, $109.02, $110.05, $103.6
04/09/2020, $106.86, 1137175, $104.62, $108.81, $103.335
04/08/2020, $102.52, 680944, $101.83, $103.95, $98.96
04/07/2020, $99.44, 1256087, $102.23, $103.72, $97.48
04/06/2020, $95.81, 1378283, $89.44, $98.3, $88.53
04/03/2020, $84.65, 1148421, $86.14, $86.91, $82.73
04/02/2020, $88.41, 3036873, $87.71, $89.89, $81.935
04/01/2020, $89.17, 1163415, $89.63, $92.7, $87.12
03/31/2020, $93.32, 1268609, $95.56, $97.38, $92.9
03/30/2020, $96.5, 1046394, $94.41, $97.87, $89.86
03/27/2020, $95.6, 761501, $93.1, $100.21, $91.3953
03/26/2020, $97.12, 1713828, $91.42, $97.65, $90.58
03/25/2020, $90.37, 1173849, $87.33, $96.605, $85.07
03/24/2020, $86.38, 1668476, $82.71, $87.61, $81.42
03/23/2020, $78.5, 1476043, $74.97, $79.94, $71.3286
03/20/2020, $75.03, 1548686, $86.49, $89, $73.74
03/19/2020, $85.97, 1185027, $86.48, $89.4181, $81.62
03/18/2020, $88.74, 1649388, $92.63, $94.46, $78.56
03/17/2020, $100.25, 1475698, $97.15, $101.92, $92.64
03/16/2020, $95.25, 1416101, $102.83, $107.49, $93.88
03/13/2020, $113.69, 1251555, $114.08, $115.31, $105.15
03/12/2020, $109.17, 1721292, $118.4, $120.33, $109.02
03/11/2020, $125.62, 2077646, $132.47, $132.8, $123.41
03/10/2020, $135.2, 1322544, $133.74, $137.35, $129.94
03/09/2020, $130.36, 1736731, $119.93, $132.19, $119.44
03/06/2020, $127.91, 1207802, $123.81, $128.48, $121.51
03/05/2020, $126.92, 1157123, $129.19, $129.77, $126
03/04/2020, $132.9, 861315, $131.22, $133.03, $128.07
03/03/2020, $130.33, 1241064, $131.52, $135.66, $128.915
03/02/2020, $132.99, 1402992, $133.45, $133.45, $128.0389
02/28/2020, $132.98, 1909304, $131.29, $132.98, $127.85
02/27/2020, $134.13, 996953, $133.16, $138.11, $129.63
02/26/2020, $134.54, 1164794, $138.95, $138.95, $134.0833
02/25/2020, $137.6, 1565675, $140.78, $140.78, $136.14
02/24/2020, $139.91, 1199473, $137.42, $140.84, $136.56
02/21/2020, $140.61, 791801, $141.62, $142.13, $139.87
02/20/2020, $142.48, 671589, $140.15, $142.86, $139.535
02/19/2020, $140.12, 1015558, $141.51, $142.42, $137.74
02/18/2020, $141.81, 2881772, $145.39, $150.66, $140.755
02/14/2020, $133.59, 1122759, $134.75, $134.75, $131.56
02/13/2020, $134.67, 949735, $133.78, $136.17, $133.17
02/12/2020, $134.32, 595135, $132.89, $134.785, $132.54
02/11/2020, $132.11, 558072, $130.96, $132.84, $130.795
02/10/2020, $130.68, 780821, $132.17, $132.29, $129.94
02/07/2020, $132.93, 895481, $134, $134.38, $131.13
02/06/2020, $134.37, 872960, $137.13, $137.34, $133.9725
02/05/2020, $137.02, 1199448, $132.71, $137.64, $132.25
02/04/2020, $131.56, 822290, $134.09, $134.63, $131.54
02/03/2020, $132.65, 1014225, $132.78, $134.41, $132.34
01/31/2020, $131.75, 1280660, $134.34, $134.59, $131.5041
01/30/2020, $135.27, 1018336, $136.95, $137.48, $133.43
01/29/2020, $138.55, 913387, $139.05, $140.4342, $138.1
01/28/2020, $138.58, 923959, $139.78, $140.24, $137.37
01/27/2020, $139.06, 937333, $139.89, $141.66, $139.06
01/24/2020, $141.68, 1277163, $150, $150, $141.21
01/23/2020, $149.73, 1312558, $146.07, $150.125, $145.97
01/22/2020, $147.65, 1204275, $148.87, $149.975, $146.8074
01/21/2020, $149, 797260, $150.62, $150.62, $147.8601
01/17/2020, $151.05, 817440, $151.78, $152.08, $150.36
01/16/2020, $151.94, 676992, $150.74, $152, $150.1
01/15/2020, $150.21, 1208806, $149.58, $151.49, $147.82
01/14/2020, $148.9, 1568412, $145.59, $149.08, $144.34
01/13/2020, $145.26, 2138699, $145.33, $147, $142.76
01/10/2020, $149.01, 1416153, $153.18, $153.5, $148.61
01/09/2020, $152.87, 1177403, $153.78, $153.98, $150.25
01/08/2020, $153.16, 825747, $154.85, $156.05, $153.14
01/07/2020, $154.94, 1132222, $156.9, $157.4, $152.409
01/06/2020, $156.8, 880177, $157.74, $158.89, $156.4325
01/03/2020, $159.42, 566975, $158.03, $159.63, $157.25
01/02/2020, $159.41, 909026, $160.47, $160.95, $157.53
12/31/2019, $160.16, 609597, $159.16, $160.31, $158.5
12/30/2019, $159.12, 563449, $158.35, $160.26, $157.43
12/27/2019, $158.35, 487179, $159.47, $159.75, $158
12/26/2019, $159.27, 482321, $160.53, $161.0712, $158.44
12/24/2019, $160.57, 324208, $160.12, $162.06, $159.83
12/23/2019, $159.97, 683591, $158.22, $160.2, $156.9
12/20/2019, $158.12, 1269185, $157.77, $158.7, $156.09
12/19/2019, $156.48, 734679, $157.47, $158.45, $156.23
12/18/2019, $158.03, 564931, $158.13, $158.8, $156.51
12/17/2019, $157.98, 941712, $154.51, $158.86, $153.67
12/16/2019, $153.5, 659342, $155.47, $155.6222, $153.4
12/13/2019, $155.21, 768611, $156.22, $156.5086, $154.22
12/12/2019, $156.12, 710320, $155.59, $157.84, $155.45
12/11/2019, $155.9, 944934, $155.86, $157.45, $153.77
12/10/2019, $156.17, 1510597, $153.18, $157.34, $152.44
12/09/2019, $151.57, 1903314, $154.24, $154.44, $150.5
12/06/2019, $154.62, 1803944, $153.29, $155.45, $151.93
12/05/2019, $152.29, 1602981, $152.89, $153.48, $151.82
12/04/2019, $152.33, 2822719, $152.62, $153.93, $152
12/03/2019, $152.61, 1051775, $155.25, $155.25, $151.88
12/02/2019, $156.55, 893558, $157.49, $159.57, $156.49
11/29/2019, $157.08, 487131, $158.46, $159.01, $156.68
11/27/2019, $158.78, 809704, $157.61, $160.61, $157.33
11/26/2019, $157.09, 1004416, $159.48, $159.48, $156.91
11/25/2019, $159.15, 647468, $158.36, $160.5, $157.59
11/22/2019, $157.87, 971608, $158.3, $159.1, $156.82
11/21/2019, $158.33, 635890, $162.15, $163.18, $158.2
11/20/2019, $161.74, 724034, $161.79, $161.96, $159.72
11/19/2019, $161.98, 714484, $163.22, $163.615, $161.22
11/18/2019, $163.67, 862885, $162.85, $164.06, $160.945
11/15/2019, $162.66, 1084463, $157.79, $162.69, $157.44
11/14/2019, $156.83, 883038, $157.95, $157.97, $155.02
11/13/2019, $158.58, 1371772, $155.31, $158.88, $153.76
11/12/2019, $156.14, 4357559, $157.95, $160.41, $154.31
11/11/2019, $168.82, 1805861, $166.72, $171.43, $165.95
11/08/2019, $167.4, 1242969, $170.36, $170.6999, $165.8
11/07/2019, $169.28, 669085, $170.45, $171.36, $168.83
11/06/2019, $169.7, 866269, $168.14, $169.95, $166.43
11/05/2019, $168.14, 1222466, $167.67, $170.87, $166.51
11/04/2019, $166.61, 723501, $165.84, $167.37, $164.59
11/01/2019, $164.82, 677808, $163.01, $166.33, $162.46
10/31/2019, $162.48, 826641, $163.84, $164.1743, $161.06
10/30/2019, $163.97, 721607, $163.99, $165.55, $162.8
10/29/2019, $164.35, 657543, $166.27, $166.92, $163.99
10/28/2019, $166.41, 978941, $165.96, $167.97, $165.23
10/25/2019, $165.56, 643134, $166.5, $169.69, $165.34
10/24/2019, $166.81, 1254235, $168.44, $170.55, $166.2951
10/23/2019, $165.12, 702951, $165.25, $166.675, $163.26
10/22/2019, $165.98, 578266, $166.4, $167.25, $164.13
10/21/2019, $166.03, 665179, $164.53, $166.35, $163.99
10/18/2019, $163.5, 642852, $163.52, $164.74, $160.72
10/17/2019, $163.75, 731658, $162.5, $164.71, $161.25
10/16/2019, $162.75, 874246, $159.21, $164.34, $159.2
10/15/2019, $159.73, 621206, $158.74, $161.235, $157.15
10/14/2019, $157.32, 436294, $158.14, $159.23, $157.085
10/11/2019, $158.56, 699370, $157.51, $160, $157.4
10/10/2019, $155.95, 732871, $154.6, $156.42, $153.825
10/09/2019, $154.41, 643193, $154.61, $155.38, $153.25
10/08/2019, $154.33, 920513, $156.6, $156.89, $153.25
10/07/2019, $158.27, 1209258, $159.09, $160.37, $157.1
10/04/2019, $159.94, 749702, $159.54, $160.61, $157.2
10/03/2019, $159.86, 921428, $162.6, $162.79, $158.26
10/02/2019, $162.96, 975433, $166.27, $166.87, $161.95
10/01/2019, $167.29, 1087232, $165.59, $167.64, $163.94
09/30/2019, $165.4, 991723, $161.64, $165.97, $161.462
09/27/2019, $161.68, 531882, $161.13, $162.42, $160.45
09/26/2019, $160.38, 730414, $162.07, $162.07, $158.5
09/25/2019, $162.28, 806357, $159.22, $162.67, $158.88
09/24/2019, $159.22, 1264094, $162.48, $163.61, $158.72
09/23/2019, $161.22, 1251437, $156.55, $161.57, $155.78
09/20/2019, $155.69, 1056104, $152.93, $156.7994, $152.69
09/19/2019, $152.8, 713468, $153.73, $154.56, $152.31
09/18/2019, $153.79, 668306, $155.91, $156.37, $152.57
09/17/2019, $156.07, 841974, $155.44, $157, $153.735
09/16/2019, $156.07, 904941, $156, $158.2599, $155.6976
09/13/2019, $157, 996697, $159.1, $159.32, $154.85
09/12/2019, $155.2, 1163436, $160, $160.15, $155.08
09/11/2019, $158.86, 1180096, $154.96, $158.89, $154.68
09/10/2019, $154.7, 1403209, $147.37, $155.38, $146.79
09/09/2019, $147.43, 1039922, $147.4, $147.81, $145.57
09/06/2019, $147.21, 818158, $146.89, $147.665, $146.32
09/05/2019, $146.55, 770610, $143.08, $147.12, $143.07
09/04/2019, $141.89, 1235234, $141.57, $142.31, $138.515
09/03/2019, $140.36, 1002515, $137.19, $140.43, $136.77
08/30/2019, $137.95, 721325, $138.7, $139.82, $137.45
08/29/2019, $138.07, 1203813, $138.04, $140.74, $137.78
08/28/2019, $136.76, 1800705, $134.3, $137.56, $133.3
08/27/2019, $134.89, 746835, $135.82, $137.13, $134.87
08/26/2019, $135, 900991, $135.62, $135.7, $132.89
08/23/2019, $135.05, 1087959, $136.57, $138.19, $134.45
08/22/2019, $137.5, 1306672, $136.65, $138.55, $136.08
08/21/2019, $136.23, 1344670, $136.56, $136.75, $134.7
08/20/2019, $135.38, 997286, $136.44, $137.855, $135.3
08/19/2019, $136.35, 1287800, $138, $138.255, $135.22
08/16/2019, $136.59, 1277824, $137.73, $139.69, $136.428
08/15/2019, $137.5, 1960529, $137.21, $138.27, $135.46
08/14/2019, $136.49, 2424511, $138.24, $140.46, $135.44
08/13/2019, $142.23, 5911983, $130.8, $144.059, $130.09
08/12/2019, $142.16, 1681080, $143.4, $145.355, $140.81
08/09/2019, $144.33, 1332599, $144.54, $146.94, $143.21
08/08/2019, $144.43, 1291836, $144.9, $146.62, $144.0901
08/07/2019, $144.04, 1523954, $144.41, $145.31, $142.21
08/06/2019, $145.64, 1593965, $143.09, $146.11, $141.63
08/05/2019, $143.16, 1604780, $142.95, $143.4, $139.96
08/02/2019, $145.78, 1212692, $149.6, $150.04, $145.71
08/01/2019, $149.95, 1460402, $150.52, $153.52, $149.72
07/31/2019, $150.64, 1057109, $151.65, $152.48, $149.705
07/30/2019, $151.8, 875304, $152.52, $154.66, $150.91
07/29/2019, $153.04, 782579, $152.29, $153.42, $150.94
07/26/2019, $152.62, 881502, $150.1, $152.83, $149.5
07/25/2019, $150.03, 1703208, $156.9, $158.21, $149.94
07/24/2019, $158.5, 865491, $157.64, $159.22, $157.075
07/23/2019, $157.64, 894493, $159.49, $159.895, $155.35
07/22/2019, $158.9, 840769, $157.28, $160.17, $157.24
07/19/2019, $156.93, 965264, $158.09, $158.725, $156.1414
07/18/2019, $157.9, 1126864, $154.75, $158.09, $152.33
07/17/2019, $157.67, 1116096, $161.15, $161.405, $156.35
07/16/2019, $161.76, 763611, $158.87, $162.7099, $158.87
07/15/2019, $158.92, 487603, $159.01, $159.14, $156.63
07/12/2019, $158.58, 648576, $156.24, $159.1125, $155.89
07/11/2019, $156.29, 970331, $155.86, $157.52, $155.08
07/10/2019, $156.43, 833650, $155.59, $156.81, $154.59
07/09/2019, $155.5, 1040658, $157.77, $158.8795, $154.03
07/08/2019, $158.19, 1588221, $160.6, $163.23, $158.11
07/05/2019, $160.62, 604395, $160.14, $161.01, $159.25
07/03/2019, $160.63, 588405, $159.51, $161.63, $158.67
07/02/2019, $159.79, 1393951, $157, $160.49, $156.315
07/01/2019, $156.59, 1154519, $155.71, $158.45, $155.57
06/28/2019, $154.14, 950036, $151.98, $154.45, $151.4
06/27/2019, $151.71, 1028901, $150.09, $153.03, $149.17
06/26/2019, $149.93, 1237817, $153.69, $153.92, $149.2
06/25/2019, $154.5, 1346793, $152.94, $156.22, $151.92
06/24/2019, $152.33, 1134144, $153.86, $153.86, $151.66
06/21/2019, $153.24, 1054155, $153.61, $154.11, $151.765
06/20/2019, $153.27, 874676, $154.32, $154.95, $151.27
06/19/2019, $153.77, 1092557, $154.87, $155.055, $152.115
06/18/2019, $154.83, 1194778, $152.42, $155.05, $152.32
06/17/2019, $151.74, 694267, $152.52, $153.835, $151.66
06/14/2019, $151.8, 769097, $150.69, $152.68, $150.31
06/13/2019, $150.61, 814796, $150.66, $152.7, $150.19
06/12/2019, $150.54, 796519, $152.09, $152.68, $149.03
06/11/2019, $152.17, 1469249, $153.76, $153.84, $150.32
06/10/2019, $153.52, 1046926, $156.36, $157.7, $152.13
06/07/2019, $155.35, 663294, $155.1, $157.13, $154.57
06/06/2019, $154.9, 919542, $154.64, $155.4, $153.42
06/05/2019, $154.61, 1093021, $155.26, $156.02, $152.64
06/04/2019, $154.61, 1008283, $154.56, $155.825, $153.76
06/03/2019, $153.17, 1104174, $154.41, $154.49, $151.83
05/31/2019, $155, 1487247, $156, $156.63, $154.4
05/30/2019, $159.39, 1080195, $156.79, $160.58, $156.44
05/29/2019, $155.78, 1665217, $154.18, $156.07, $151.57
05/28/2019, $154.56, 1207484, $158.23, $159.25, $154.56
05/24/2019, $158.09, 2127796, $159.72, $160.4075, $155.48
05/23/2019, $159.8, 2600192, $165.58, $167, $158.55
05/22/2019, $166.29, 3608402, $165.69, $170.99, $164.6
05/21/2019, $161.3, 1821259, $159.02, $161.72, $156.65
05/20/2019, $158.64, 1714631, $157.35, $160.19, $157.2
05/17/2019, $157.97, 1146245, $155.92, $159.67, $155.675
05/16/2019, $157.28, 1264523, $155.8, $158.67, $154.1226
05/15/2019, $155.83, 782974, $154.84, $155.95, $153.25
05/14/2019, $155.75, 1216031, $154.57, $156.89, $153.09
05/13/2019, $155.37, 1395378, $155.13, $156, $153.41
05/10/2019, $158.12, 813292, $159.24, $159.24, $154.49
05/09/2019, $159.89, 883568, $157.32, $160.01, $156.18
05/08/2019, $158.62, 586164, $160.12, $160.45, $157.725
05/07/2019, $160.66, 1069448, $161.09, $162.59, $159.65
05/06/2019, $161.99, 1218550, $161.06, $163.56, $159.83
05/03/2019, $163.27, 760196, $167.05, $167.39, $163.19
05/02/2019, $166.78, 1154501, $164.05, $167.2082, $163.3
05/01/2019, $163.83, 923175, $166.13, $166.6589, $163.67
04/30/2019, $166.32, 857251, $167.41, $168.7098, $165.25
04/29/2019, $166.77, 792798, $169.94, $170.5636, $166.64
04/26/2019, $170.19, 683549, $170.31, $170.73, $168.17
04/25/2019, $170.64, 1265048, $169.8, $171.57, $165.87
04/24/2019, $171.86, 914967, $173.29, $173.925, $171.76
04/23/2019, $172.47, 912451, $171.09, $173.72, $170.26
04/22/2019, $170.08, 878793, $174.45, $175.39, $169.73
04/18/2019, $175.4, 1025304, $176.56, $177.13, $174.11
04/17/2019, $176.81, 722686, $179.95, $180.05, $176.67
04/16/2019, $179.95, 676878, $182.56, $182.56, $179.51
